"filename", "language", "Python", "Django txt", "Markdown", "JSON", "CSV", "TSV", "log", "Excel", "comment", "blank", "total"
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto23.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto24.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto25.log", "log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto26.log", "log", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto27.log", "log", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto28.log", "log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto29.log", "log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto3.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto30.log", "log", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto31.log", "log", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto32.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto33.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto34.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto35.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto36.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto37.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto38.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
