Group	Species	N	Status	Regions	Group2	MLdistance	MLsimilarity	AAdistance	AAsimilarity	ZtestDistance	ZtestSimilarity	Nsdistance	Nssimilarity	PatristicDistance	PatristicSimilarity
Group_143		1	NA	NA	group_143	0.2449337	NA	0.24629686	NA	0	NA	0.17545977	NA	0.158	NA
Group_144		1	NA	NA	group_144	0.14507489	NA	0.1328481	NA	0	NA	0.07771144	NA	0.119	NA
Group_145	Lasioglossum oenotherae	1	native	nearctic	group_145	0.13984192	NA	0.05688737	NA	0	NA	0.03345149	NA	0.119	NA
Group_146	Lasioglossum marinum	1	native	nearctic	group_146	0.07758238	NA	0.00716849	NA	0	NA	0.00791042	NA	0.074	NA
Group_147	Lasioglossum nigroviride	1	native	nearctic	group_147	0.06322763	NA	0.00459781	NA	0	NA	0.00394619	NA	0.037	NA
Group_148	Myrmecina americana	1	native	nearctic / neotropic	group_148	0.20380202	NA	0.12121357	NA	0	NA	0.08520036	NA	0.209	NA
Group_149	Aphaenogaster rudis	2	native	nearctic	group_149	0.2091371	0.00305031	0.08526465	0	0	0.15714816	0.06506341	0	0.059	0.003
Group_15		1	NA	NA	group_15	0.24295079	NA	0.20193267	NA	0	NA	0.12723576	NA	0.238	NA
Group_150	Cotesia xylina	1	native	nearctic	group_150	0.20785603	NA	0.20692072	NA	0	NA	0.1305484	NA	0.129	NA
Group_151	Lasioglossum lineatulum	1	native	nearctic	group_151	0.05901506	NA	0.00461895	NA	0	NA	0.00198151	NA	0.051	NA
Group_152	Myrmica fracticornis	1	native	nearctic	group_152	0.13903186	NA	0.02457126	NA	0	NA	0.01792704	NA	0.104	NA
Group_153	Tapinoma sessile	1	native	nearctic	group_153	0.22501436	NA	0.09252018	NA	0	NA	0.0721083	NA	0.07766667	NA
Group_154		1	NA	NA	group_154	0.111114	NA	0.02398196	NA	0	NA	0.01445828	NA	0.11	NA
Group_155		1	NA	NA	group_155	0.24591002	NA	0.17010597	NA	0	NA	0.12670604	NA	0.11	NA
Group_156		1	NA	NA	group_156	0.13316247	NA	0.09531018	NA	1.00E-10	NA	0.05373428	NA	0.053	NA
Group_157		1	NA	NA	group_157	0.23408557	NA	0.21130909	NA	0	NA	0.1470153	NA	0.211	NA
Group_158		1	NA	NA	group_158	0.02854314	NA	0.0151521	NA	0	NA	0.00641296	NA	0.0245	NA
Group_159		1	NA	NA	group_159	0.27779234	NA	0.33135714	NA	0	NA	0.17804815	NA	0.207	NA
Group_16		1	NA	NA	group_16	0.41048573	NA	0.37385977	NA	0	NA	0.24539357	NA	0.379	NA
Group_160	Myrmica hellenica	1	introduced	nearctic / palearctic	group_160	0.19874367	NA	0.11119636	NA	0	NA	0.08385203	NA	0.1185	NA
Group_161	Urocerus cressoni	1	native	nearctic	group_161	0.22671755	NA	0.18721154	NA	0	NA	0.11215729	NA	0.088	NA
Group_162	Sirex edwardsii	3	native	nearctic	group_162	0.1159154	0	0.07073655	0	0	1	0.04435322	0	0.1175	0
Group_163	Osmia distincta	1	native	nearctic	group_163	0.19939027	NA	0.22314355	NA	0	NA	0.13955121	NA	0.048	NA
Group_164	Trissolcus japonicus	1	introduced	cosmopolitan	group_164	0.29175602	NA	0.29298712	NA	0	NA	0.18911134	NA	0.168	NA
Group_165	Tetrastichus coeruleus	1	introduced	cosmopolitan	group_165	0.20248273	NA	0.23052366	NA	7.00E-10	NA	0.13993947	NA	0.1495	NA
Group_166	Lasioglossum birkmanni	1	native	nearctic	group_166	0.13054866	NA	0.06062462	NA	1.80E-09	NA	0.04221063	NA	0.085	NA
Group_167		1	NA	NA	group_167	0.27109258	NA	0.29334781	NA	1.14E-07	NA	0.19110043	NA	0.171	NA
Group_168	Pseudodineura parva	1	native	nearctic	group_168	0.17819587	NA	0.05841076	NA	0	NA	0.04734978	NA	0.162	NA
Group_169		1	NA	NA	group_169	0.30675982	NA	0.24686008	NA	1.02E-07	NA	0.19096434	NA	0.106	NA
Group_17	Tapinoma sessile	1	native	nearctic	group_17	0.09668977	NA	0.02777956	NA	0	NA	0.01595805	NA	0.09783333	NA
Group_170	Fenella nigrita	1	introduced	nearctic / palearctic	group_170	0.1296721	NA	0.05092009	NA	0	NA	0.03696517	NA	0.128	NA
Group_171	Fenusa pumila	1	introduced	nearctic / palearctic	group_171	0.1418538	NA	0.05092009	NA	0	NA	0.04013799	NA	0.128	NA
Group_172	Pristiphora bivittata	1	native	nearctic	group_172	0.13699541	NA	0.02150621	NA	0	NA	0.01743343	NA	0.134	NA
Group_173	Profenusa lucifex	1	native	nearctic	group_173	0.15424629	NA	0.07356257	NA	0	NA	0.04681455	NA	0.134	NA
Group_174	Pachynematus corniger	1	native	nearctic	group_174	0.09843581	NA	0.00711747	NA	0	NA	0.00784116	NA	0.098	NA
Group_175	Nematus atriceps group sp. TN-2010	1	NA		group_175	0.09074535	NA	0.01428596	NA	0	NA	0.0158067	NA	0.09	NA
Group_176	Amauronematus brunneus	1	native	nearctic	group_176	0.12464645	NA	0.01428596	NA	0	NA	0.01261196	NA	0.098	NA
Group_177	Nematus tricolor	1	NA	NA	group_177	0.16040388	NA	0.11247798	NA	9.80E-09	NA	0.07042814	NA	0.09	NA
Group_178	Periclista sp. SAL-2012	1	NA		group_178	0.35075912	NA	0.34652257	NA	0.00017313	NA	0.25240607	NA	0.168	NA
Group_179	Lasioglossum leucocomum	1	native	nearctic	group_179	0.09164559	NA	0.01626052	NA	3.57E-08	NA	0.0175858	NA	0.072	NA
Group_18		1	NA	NA	group_18	0.21498216	NA	0.23671563	NA	0	NA	0.13487627	NA	0.207	NA
Group_180	Bombus impatiens	2	native	nearctic / neotropic	group_180	0.03815608	0	0.01869213	0	0	1	0.00802147	0	0.043	0
Group_19		5	NA	NA	group_19	0.11453112	0.00396796	0.05171028	0	0	0.2584661	0.03318484	0	0.11417143	0.0044
Group_2	Tetramorium sp.	15	NA		group_2	0.21795591	0.00066568	0.09075436	0	0	0.71407759	0.0746472	0	0.22306667	0.00599048
Group_20		7	NA	NA	group_20	0.18914896	0.00795875	0.20168592	0	0	0.05667303	0.12416705	0	0.11417143	0.00952381
Group_21		78	NA	NA	group_21	0.18553446	0	0.1687159	0	0	1	0.10068527	0	0.182	0
Group_22		1	NA	NA	group_22	0.18633259	NA	0.17003384	NA	0	NA	0.10149699	NA	0.182	NA
Group_23		1	NA	NA	group_23	0.13498197	NA	0.0419642	NA	0	NA	0.03106657	NA	0.133	NA
Group_24		1	NA	NA	group_24	0.13745511	NA	0.1008047	NA	0	NA	0.0550303	NA	0.1458	NA
Group_25	Bombus terricola	2	native	nearctic	group_25	0.09446073	0.00152289	0.02777956	0	0	0.31764352	0.02377221	0	0.0988	0.002
Group_26		1	NA	NA	group_26	0.09177527	NA	0.03248546	NA	0	NA	0.02179666	NA	0.0978	NA
Group_27		2	NA	NA	group_27	0.06555198	0	0.01654964	0	0	1	0.01203234	0	0.0638	0
Group_28		2	NA	NA	group_28	0.06092601	0	0.00917438	0	0	1	0.00685831	0	0.0618	0
Group_29		4	NA	NA	group_29	0.05659878	0.00209465	0.00614444	0.00159696	0	0.4453069	0.01252421	0.00068023	0.0668125	0.00816667
