Order,Order_Group,Species,Classification,Classification_Simple,AA_Dist,dN_Dist,dS_Dist,ML_Dist,P_Dist,Ztest_Dist,AA_Sim,dN_Sim,dS_Sim,ML_Sim,P_Sim,Ztest_Sim
Diptera,Diptera_Group_270,Rhiniidae_sp,NA,NA,0.01991552893,0.0244858522,0.5697718186,0.1375260603,0.1247311828,1.94E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_271,Tricharaea_occidua,P,NA,0.004711296618,0.01069291137,0.5683785499,0.1250219248,0.1149280321,9.94E-10,0,0,0.001185938589,0.0002843381291,0.0002839519891,0.8759550378
Diptera,Diptera_Group_272,Mycetophilidae_sp,NA,NA,0.06445289123,0.040943193,0.4068953737,0.12478548,0.1133122985,7.80E-06,0,0,0.009756529933,0.002271490233,0.002267662067,0.2640067779
Diptera,Diptera_Group_273,Leptocera_sp,NA,NA,0,0.01212544895,0.4828970256,0.1045022605,0.09664807108,1.10E-06,0,0,0,0,0,1
Diptera,Diptera_Group_274,Rachispoda_sp,NA,NA,0.0049875415,0.01270891877,0.570649942,0.1169614498,0.1070800908,4.50E-10,0,0,0,0,0,1
Diptera,Diptera_Group_275,Pipunculidae_sp,NA,NA,0.07015215559,0.04863870557,0.5124309554,0.1493065185,0.1335106492,4.96E-07,0,0,0,0,0,1
Diptera,Diptera_Group_276,Olcella_sp,NA,NA,0.0093897403,0.0114403899,0.4143061994,0.0938367078,0.08735637315,9.10E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_277,Elachiptera_sp,NA,NA,0,0.00608321405,0.4421024947,0.1056217373,0.0974867283,3.13E-09,0,0,0,0,0,1
Diptera,Diptera_Group_278,Anthomyiidae_sp,NA,NA,0.0093190639,0.009913088,0.5100576108,0.1106587129,0.10148601,1.32E-08,0,0,0,0,0,1
Diptera,Diptera_Group_279,Gaurax_sp,NA,NA,0.0002704534824,0.01120345405,0.4462312752,0.1040185632,0.0961602674,3.11E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_28,Dolichopodidae_sp,NA,NA,0,0.014359413,0.7915467654,0.1571352542,0.1405411359,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_280,Chloropidae_sp,NA,NA,0.004975803788,0.01309653011,0.473747483,0.1075852117,0.09943191197,2.96E-08,0.0005542059507,0.0002428723669,0.002027547793,0.0006676345868,0.0006662992353,0.79951225
Diptera,Diptera_Group_281,Chloropidae_sp,NA,NA,0,0.0163517905,0.5206629537,0.1214701547,0.1114238019,1.36E-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_282,Chloropidae_sp,NA,NA,0.02018647583,0.02019971263,0.4557118383,0.1136693411,0.1046393921,1.01E-09,0,0,0,0,0,1
Diptera,Diptera_Group_283,Peckia_chrysostoma,NA,NA,0,0.007305896714,0.4868053772,0.1124843757,0.1039945759,3.69E-09,0,0,0.01140655566,0.002727725186,0.002716568348,0.4633614361
Diptera,Diptera_Group_284,Culicidae_sp,NA,NA,0.04647031225,0.03022845598,0.4849519893,0.1271600125,0.115487535,4.15E-09,0.0361796566,0.0157722673,0.1053040682,0.038126899,0.037037037,0.0016151445
Diptera,Diptera_Group_285,Drosophila_sp,NA,NA,0.0005407695409,0.00451144985,0.4645022459,0.09375133023,0.08799260225,0,0,0,0.0065789896,0.0015769543,0.0015748031,0.317739158
Diptera,Diptera_Group_286,Drosophila_ananassae,I,0,0.0052899346,0.005071745656,0.4415381617,0.09091169877,0.08529588021,3.58E-08,0.001128130628,0.0005017309545,0.01154100838,0.003381852864,0.003367156935,0.3320880801
Diptera,Diptera_Group_287,Drosophila_melanogaster,I,0,0,0.00447123828,0.2078506279,0.04874793466,0.0473617904,3.03E-07,0,0,0,0,0,1
Diptera,Diptera_Group_288,Drosophila_simulans,NA,NA,0.0097053768,0.01270324304,0.4384127884,0.1122497201,0.1032238239,1.27E-07,0,0,0.00348592786,0.00085504231,0.00085335164,0.7268903273
Diptera,Diptera_Group_289,Sarcophaga_peregrina,P,NA,0.0080972102,0.0145547321,0.3596798102,0.0899232883,0.0848806366,3.65E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_29,Simuliidae_sp,NA,NA,0,0,0.2437513121,0.05387789046,0.05218525766,1.13E-08,0,0,0.0517931057,0.0118288516,0.01159672391,0.2544352364
Diptera,Diptera_Group_290,Atherigona_orientalis,I,0,0.0006884694857,0.008682500929,0.4557630119,0.1120758234,0.103518664,9.76E-09,0.003354937181,0.001859322414,0.02135615754,0.006486287352,0.006442135781,0.3446847599
