Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,ML_Similarity,dS_Distance,AA_Similarity,Ztest_Similarity,dN/dS_Similarity,predict,prob. introduced,prob. native,ML_Distance,dN_Distance,dN_Similarity,dS_Similarity,AA_Distance,Ztest_Distance,dN/dS_Distance
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,100.0,1,1.0,1,,0.49110119999999996,,,,native,0.3623841756406151,0.6376158243593851,0.18989481551331533,0.039840822717429655,0.014755502862061018,0.02300575183692591,0.02471082807331744,0.0,0.04311905884742268
34,Coleoptera_Group_126,Carabus goryi,native,100.0,100.0,2,1.0,16,0.003377783783,0.74569614,0.0004022,0.47134616,0.01334908227,native,0.28075003982699565,0.7192499601730038,0.22406157165375123,0.02939797184320859,0.002874135427989047,0.009933489362032448,0.01965716499263882,4.6479521398987575e-11,0.020954024380337617
35,Coleoptera_Group_126,Carabus nemoralis,introduced,100.0,100.0,2,2.0,16,0.003377783783,0.74569614,0.0004022,0.47134616,0.01334908227,native,0.28075003982699565,0.7192499601730038,0.22406157165375123,0.02939797184320859,0.002874135427989047,0.009933489362032448,0.01965716499263882,4.6479521398987575e-11,0.020954024380337617
36,Coleoptera_Group_127,Clivina americana,native,66.0,50.0,1,1.0,2,0.0,0.50834066,0.0,1.0,,introduced,0.611604443112147,0.38839555688785354,0.1751444274761756,0.05783050676409876,0.0,0.0,0.0,6.18192974382574e-14,0.06046640097439287
37,Coleoptera_Group_128,,,,,0,,1,,0.63334848,,,,native,0.30099765906579923,0.6990023409342006,0.18920978412523748,0.03921736483821427,0.014755502862061018,0.02300575183692591,0.025363925029965116,0.0,0.032911497700747576
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,100.0,1,1.0,1,,0.60272604,,,,native,0.2790377383566726,0.7209622616433269,0.18243555487446383,0.02885563006362031,0.014755502862061018,0.02300575183692591,0.024652706280753348,0.0,0.0254461789257115
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,100.0,1,1.0,1,,0.88125111,,,,introduced,0.6652003300191456,0.3347996699808554,0.3447415615683001,0.16480200667379186,0.014755502862061018,0.02300575183692591,0.17670195084108678,0.0,0.09939734603031047
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,100.0,1,2.0,17,0.0,0.58038448,0.0,1.0,,native,0.341087352060693,0.6589126479393069,0.17300197972675524,0.025528914301484535,0.0,0.0,0.012651826482961781,0.0,0.023379139657616815
41,Coleoptera_Group_131,Carabus serratus,native,100.0,100.0,1,1.0,18,0.0016645829130000002,0.58038448,0.0,0.53787981,0.0,native,0.2735201313126167,0.7264798686873826,0.17300197972675524,0.025528914301484535,0.0,0.0050777634748088146,0.012651826482961781,0.0,0.023379139657616815
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,50.0,1,1.0,1,,0.60379253,,,,introduced,0.649475167566978,0.3505248324330231,0.24591991241819183,0.1159460823453571,0.014755502862061018,0.02300575183692591,0.06888276879857921,0.0,0.10206581634452486
43,Coleoptera_Group_133,,,,,0,,2,0.0015231132999999999,0.4899492999999999,0.0,0.31779923,0.0,introduced,0.6665847013297264,0.3334152986702747,0.18844146048306248,0.07449369411283277,0.0,0.004704593744651175,0.06177641097890796,0.0,0.08081283451048261
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,100.0,1,1.0,2,0.0015231132999999999,0.5310427,0.0,0.31777972,0.0,introduced,0.5595918983220761,0.440408101677924,0.18961296661196647,0.06954141089515457,0.0,0.004764914290439858,0.036894373791542215,0.0,0.06960269001562912
45,Coleoptera_Group_135,,,,,0,,3,0.0,0.4899492999999999,0.0,1.0,,introduced,0.6969393841029099,0.303060615897091,0.18844146048306248,0.08230135886795706,0.0,0.0,0.05257564032631808,4.739990796134376e-14,0.08928280672051175
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,100.0,1,1.0,1,,0.57965038,,,,native,0.42870018450047176,0.5712998154995276,0.19342860693446123,0.03732140801422716,0.014755502862061018,0.02300575183692591,0.04965208572722334,0.0,0.034221880085163615
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,100.0,1,1.0,1,,0.48238612,,,,introduced,0.5193994629900517,0.4806005370099487,0.1905274749218126,0.05783050676409876,0.014755502862061018,0.02300575183692591,0.0,0.0,0.06371976495662902
48,Coleoptera_Group_138,,,,,0,,1,,0.51902544,,,,native,0.45119328706106254,0.5488067129389375,0.18154819525818172,0.048069353130747915,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.04922566622367399
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,100.0,1,1.0,1,,0.52013931,,,,introduced,0.5126432865177551,0.487356713482245,0.18460084906448537,0.05611280506614057,0.014755502862061018,0.02300575183692591,0.03644845167480845,0.0,0.05733954896082981
50,Coleoptera_Group_14,,,,,0,,1,,0.81452513,,,,introduced,0.6672961300057355,0.33270386999426527,0.39439908459704187,0.25676814299411616,0.014755502862061018,0.02300575183692591,0.25615728886796246,0.0,0.16755161662811507
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,100.0,1,1.0,2,0.0,0.50496183,0.0,1.0,,introduced,0.5436892553616367,0.4563107446383631,0.16845259225407377,0.046685548298090206,0.0,0.0,0.026128999250173403,0.0,0.04914008268306855
52,Coleoptera_Group_141,,,,,0,,1,,0.46955789,,,,native,0.2750465484859649,0.7249534515140347,0.16273369059525244,0.02885563006362031,0.014755502862061018,0.02300575183692591,0.024652706280753348,0.0,0.03266279831784385
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,100.0,1,1.0,7,0.0009686495476000001,0.48216409,0.0,0.75913071,0.0,introduced,0.5564656309917185,0.44353436900828125,0.1636774132309678,0.04728086599973422,0.0,0.003023282108003434,0.04612913127828651,0.0,0.052119774793366144
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,100.0,1,1.0,14,0.001070387415,0.56454193,0.00049466,0.61739553,0.05934803808999999,native,0.41363038871175206,0.5863696112882483,0.20446910754686248,0.04050893048193225,0.0035272698313095516,0.002742068689854641,0.03736601959071446,0.0,0.03813875779713544
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,100.0,1,1.0,3,0.001016732067,0.43029696,0.0,0.54521217,0.0,native,0.27972893295913953,0.7202710670408596,0.12521917662633575,0.007148458971528432,0.0,0.0030971905721780334,0.0,0.0,0.008829906832139328
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,100.0,1,1.0,1,,0.33232904,,,,native,0.1737673976376658,0.826232602362334,0.09175017006276183,0.0,0.014755502862061018,0.02300575183692591,0.0,5.123485197116122e-14,0.0
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,100.0,1,1.0,1,,0.33232904,,,,native,0.1737673976376658,0.826232602362334,0.09175017006276183,0.0,0.014755502862061018,0.02300575183692591,0.0,5.246203405430281e-14,0.0
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,100.0,1,1.0,12,0.006229890508,0.40123212,0.00138687,0.10243399,0.02517136634,introduced,0.6199133712104753,0.38008662878952526,0.16554335081474608,0.07421690960795543,0.009810216477192497,0.01798116445577966,0.0528409589509992,8.007363092498849e-13,0.09831485519940616
59,Coleoptera_Group_148,Dicaelus politus,native,100.0,100.0,2,1.0,10,0.001344598851,0.46373486,0.0,0.55169462,0.0,introduced,0.5550482548073711,0.44495174519262876,0.15702999956662678,0.0471730564364014,0.0,0.004111437994454585,0.032337579729426365,2.8071790151863783e-14,0.054067494170686174
60,Coleoptera_Group_148,Poecilus lucublandus,native,100.0,100.0,2,3.0,10,0.001344598851,0.46373486,0.0,0.55169462,0.0,introduced,0.5550482548073711,0.44495174519262876,0.15702999956662678,0.0471730564364014,0.0,0.004111437994454585,0.032337579729426365,2.8071790151863783e-14,0.054067494170686174
61,Coleoptera_Group_149,Cymindis limbata,native,66.0,50.0,1,1.0,7,0.0050971533519999996,0.27548932,0.00130762,0.20116320000000001,0.029701113169999998,native,0.10092516472699171,0.8990748352730078,0.07117899534720301,0.0010530744455783908,0.009274478383543531,0.014406642501178207,0.0017488096443219875,1.3330265378125477e-11,0.0020317313271065443
62,Coleoptera_Group_15,,,,,0,,1,,0.62258144,,,,introduced,0.6672961300057355,0.33270386999426527,0.36265059061362304,0.2527318430388641,0.014755502862061018,0.02300575183692591,0.26963237873922624,6.826200337475073e-12,0.21576240033751803
63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,100.0,1,1.0,3,0.0179034325,0.27548932,0.0,0.00276847,0.0,native,0.10955945390249061,0.8904405460975087,0.07117899534720301,0.0010530744455783908,0.0,0.05675256506393907,0.0,3.5741678171498692e-12,0.0020317313271065443
64,Coleoptera_Group_151,Myas cyanescens,native,100.0,100.0,1,1.0,15,0.001051899381,0.52213396,0.0,0.64033339,0.0,introduced,0.6156230916740125,0.3843769083259874,0.18120198748562,0.048956419400502646,0.0,0.0029178568090606257,0.05157642682442136,0.0,0.04983559823641083
65,Coleoptera_Group_152,,,,,0,,1,,0.48128397,,,,introduced,0.5086520966470475,0.4913479033529527,0.1720882574982998,0.05410563949608356,0.014755502862061018,0.02300575183692591,0.0384671868545792,0.0,0.05975209097203533
66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,100.0,1,3.0,191,0.0037591360019999997,0.51766417,0.00113394,0.35331709,0.03748718408,native,0.45175937436742647,0.5482406256325736,0.19401187700120986,0.0482020098457188,0.00840351271469127,0.010342464892444442,0.042181748600551495,9.035128087129927e-14,0.04949131700203856
67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,100.0,1,1.0,20,0.015558761499999999,0.32493074,0.00059224,0.08678961,0.003954176057,native,0.17116815407969324,0.8288318459203065,0.08771551471223313,0.00043335908242147527,0.004212156175874982,0.0491467128809908,0.000740943643120521,1.9788311090658073e-08,0.000708874042290351
68,Coleoptera_Group_155,,,,,0,,1,,0.23807982,,,,native,0.10239218464473213,0.8976078153552675,0.06081346476399556,0.00043335908242147527,0.014755502862061018,0.02300575183692591,0.0,3.9269826660530753e-10,0.0009674695114785212
69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,100.0,1,1.0,2,0.0017114957999999998,0.44368417,0.0,0.31759537,0.0,native,0.2671951952773246,0.7328048047226747,0.1503056402493418,0.018822480090581607,0.0,0.00533488584072087,0.005355729537307532,2.715140358950759e-13,0.022548355990013626
70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,100.0,1,1.0,3,0.0,0.56029261,0.0,1.0,,native,0.34846265473914967,0.6515373452608506,0.19912810248841528,0.025912816469390136,0.0,0.0,0.012241667510788874,0.0,0.024581687600717553
71,Coleoptera_Group_158,,,,,0,,1,,0.43709934,,,,native,0.27326845723949983,0.7267315427605,0.14393934771270256,0.028758208924891396,0.014755502862061018,0.02300575183692591,0.012241667510788874,2.4390243902439023e-14,0.03496984069891447
72,Coleoptera_Group_159,Amara lunicollis,native,66.0,50.0,1,1.0,5,0.00060924532,0.3889373,0.00183067,0.72753587,,introduced,0.5884023604276252,0.41159763957237444,0.14907548225377887,0.04448429181785575,0.01292351464840235,0.0,0.02778418271642333,5.629697806412027e-13,0.06079096762893955
73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,100.0,1,1.0,1,,0.89131214,,,,introduced,0.6652003300191456,0.3347996699808554,0.3391336862597319,0.1783317250305458,0.014755502862061018,0.02300575183692591,0.17670195084108678,0.0,0.1063434532649173
74,Coleoptera_Group_160,,,,,0,,1,,0.43276359,,,,native,0.2307852880938317,0.7692147119061687,0.12944106214816709,0.021474314670121935,0.014755502862061018,0.02300575183692591,0.012525912065906425,0.0,0.026374277292412745
75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,,1,1.0,8,0.001218961118,0.41860197,0.0,0.58141537,0.0,native,0.2820660370597732,0.7179339629402259,0.14253233809169236,0.02737315978613674,0.0,0.003815298679085376,0.005355729537307532,9.464641816229484e-12,0.034756467879951486
76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,100.0,1,1.0,6,0.00183154772,0.39321907,0.0,0.49436166,0.0,native,0.21081593339428462,0.7891840666057146,0.11517434585910653,0.014611149972076874,0.0,0.005669536646876421,0.0,8.927749654855039e-13,0.019749758832056423
77,Coleoptera_Group_163,Agonum retractum,native,100.0,100.0,1,1.0,26,0.002199895017,0.39321907,0.0,0.48966143,0.0,native,0.21221408795988264,0.7877859120401169,0.11517434585910653,0.014611149972076874,0.0,0.0067709608234363585,0.012525912065906425,3.911642890013805e-13,0.019749758832056423
78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,100.0,1,1.0,1,,0.43709934,,,,native,0.23537016864939028,0.7646298313506099,0.13674155437820418,0.02149599145644649,0.014755502862061018,0.02300575183692591,0.012241667510788874,0.0,0.026139019957449574
79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,100.0,1,1.0,1,,0.36914366,,,,native,0.23368114046101598,0.7663188595389845,0.13812709177912502,0.02513791444921853,0.014755502862061018,0.02300575183692591,0.024539618959269142,0.0,0.0361947682546432
80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,100.0,1,1.0,4,0.0008094361332999999,0.40505905,0.0,0.65885479,0.0,introduced,0.5382814199389753,0.4617185800610249,0.13536611732723525,0.0423759812803,0.0,0.002490870596893119,0.020792491551043325,5.813775118883264e-13,0.05560494282809296
81,Coleoptera_Group_167,,,,,0,,1,,0.41538226,,,,native,0.2219387025705784,0.7780612974294216,0.12746046086619445,0.007153261404533058,0.014755502862061018,0.02300575183692591,0.0,0.0,0.009153098187673204
82,Coleoptera_Group_168,Pterostichus coracinus,native,100.0,100.0,2,3.0,60,0.0008044961844999999,0.33041912,0.00122071,0.80794811,0.31864670230000003,native,0.4621523190705907,0.5378476809294089,0.10460252482188369,0.03655171624522733,0.008597034058702347,0.0012447588758135626,0.025795435630851647,2.8531983433041877e-12,0.058796919563450914
83,Coleoptera_Group_168,Pterostichus rostratus,native,100.0,100.0,2,1.0,60,0.0008044961844999999,0.33041912,0.00122071,0.80794811,0.31864670230000003,native,0.4621523190705907,0.5378476809294089,0.10460252482188369,0.03655171624522733,0.008597034058702347,0.0012447588758135626,0.025795435630851647,2.8531983433041877e-12,0.058796919563450914
84,Coleoptera_Group_169,Pterostichus adoxus,native,100.0,100.0,2,2.0,26,0.00033252319260000006,0.11331895,0.0,0.85626705,0.0,native,0.18435967386954555,0.815640326130454,0.015177286089680775,0.006026682635072879,0.0,0.0010373944561133915,0.0003285031419668396,3.2366927442859336e-06,0.02826752276012537
85,Coleoptera_Group_169,Pterostichus coracinus,native,100.0,100.0,2,3.0,26,0.00033252319260000006,0.11331895,0.0,0.85626705,0.0,native,0.18435967386954555,0.815640326130454,0.015177286089680775,0.006026682635072879,0.0,0.0010373944561133915,0.0003285031419668396,3.2366927442859336e-06,0.02826752276012537
86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,50.0,1,1.0,2,0.0,0.58721864,0.0,1.0,,native,0.337204115462076,0.6627958845379236,0.1685617599108542,0.021388042657693687,0.0,0.0,0.0,0.0,0.019359011557694327
87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,100.0,1,1.0,1,,0.28999183,,,,native,0.3960240400970047,0.6039759599029946,0.09198441713030713,0.03580290432344417,0.014755502862061018,0.02300575183692591,0.024539618959269142,2.5157232704402513e-11,0.06562124494993114
88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,100.0,1,1.0,15,0.0,0.24468982,0.0,1.0,,native,0.21406727831787295,0.7859327216821267,0.06413540551542246,0.0072837701567205395,0.0,0.0,0.0,4.233778186838472e-10,0.015821669261266966
89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,100.0,1,3.0,8,0.006444636607,0.34406244,0.00114492,0.16947721,0.01941632978,native,0.3976457770119406,0.6023542229880589,0.11334191022356709,0.040958368540217185,0.008071046681650606,0.019178239252574815,0.025431859464311982,1.3882497315539193e-12,0.06327284384343794
90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,100.0,1,1.0,16,0.001373567725,0.31958034,0.0,0.65708395,0.0,native,0.42103568956072646,0.5789643104392734,0.10491032383494824,0.03335668574086036,0.0,0.0035875226489433414,0.025527222862197774,4.295137290995551e-11,0.055477235194932785
91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,100.0,1,1.0,8,0.0007392694964,0.13272239,0.0,0.68323042,0.0,native,0.17855263920418815,0.8214473607958116,0.023533046530777785,0.007774479453271662,0.0,0.0022878694748365656,0.01318587175079041,1.7180549163982205e-06,0.03113429933608029
92,Coleoptera_Group_175,,,,,0,,1,,0.37185993,,,,native,0.3537284229680457,0.6462715770319544,0.1280936585839435,0.03230943546285579,0.014755502862061018,0.02300575183692591,0.0370647922347997,2.500383494400981e-12,0.04618085367380417
93,Coleoptera_Group_176,Notiobia terminata,native,66.0,100.0,1,1.0,1,,0.37224850000000004,,,,native,0.19278306351412608,0.8072169364858739,0.11538549991226112,0.021488761010421045,0.014755502862061018,0.02300575183692591,0.012241667510788874,0.0,0.03068247504017983
94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,100.0,1,1.0,2,0.0,0.24012565,0.0,1.0,,introduced,0.6275077998826495,0.37249220011735146,0.07810931793336394,0.046654076763141844,0.0,0.0,0.06177641097890796,3.4821291609142503e-09,0.10326734615616823
95,Coleoptera_Group_178,Harpalus faunus,native,100.0,100.0,1,1.0,1,,0.24012565,,,,native,0.31154609277755513,0.6884539072224436,0.07810931793336394,0.024208874893708106,0.014755502862061018,0.02300575183692591,0.027720641298206544,3.650866697346219e-10,0.05358559073143829
96,Coleoptera_Group_179,Anisodactylus discoideus,native,100.0,100.0,1,1.0,1,,0.26396366,,,,native,0.22922328775331222,0.7707767122466878,0.07882426994009915,0.021488761010421045,0.014755502862061018,0.02300575183692591,0.012241667510788874,3.819604233778186e-10,0.04326923377502169
97,Coleoptera_Group_18,Podabrus rugosulus,native,66.0,50.0,1,1.0,2,0.0015231132999999999,0.58721864,0.0,0.31779923,0.0,native,0.26963689471399976,0.7303631052859996,0.1685617599108542,0.021388042657693687,0.0,0.004704593744651175,0.0,3.589507593189139e-13,0.019359011557694327
