,Number,Order_Group,Species Name,Final Status,Status Confidence,Count,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
33,34,Coleoptera_Group_126,Carabus goryi,native,100.0,16.0,0.01334908227,native,0.1440262647,0.003377783783,0.008282967334,0.0001783924633,0.74569614,0.01336365,0.007349023183,0.0004022,0.0,0.47134616,0.01110769775
34,36,Coleoptera_Group_127,Clivina americana,native,66.0,2.0,,native,0.1166765715,0.0,0.0162939199,0.0,0.50834066,0.0,0.0,0.0,0.0,1.0,0.03205315093
35,37,Coleoptera_Group_128,,,,1.0,,native,0.1245405463,,0.01104961096,,0.63334848,,0.009482551178,,0.0,,0.01744633691
36,38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,1.0,,native,0.1207530584,,0.0081301609,,0.60272604,,0.0092166551,,0.0,,0.01348898232
37,39,Coleoptera_Group_13,Judolia cordifera,native,100.0,1.0,,native,0.2114987379,,0.046433463,,0.88125111,,0.0660617507,,0.0,,0.0526903881
38,40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,17.0,,native,0.1154787238,0.0,0.007192848689,0.0,0.58038448,0.0,0.004730008939,0.0,0.0,1.0,0.01239324782
39,41,Coleoptera_Group_131,Carabus serratus,native,100.0,18.0,0.0,native,0.1154787238,0.001664582913,0.007192848689,0.0,0.58038448,0.00683118,0.004730008939,0.0,0.0,0.53787981,0.01239324782
40,42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,1.0,,native,0.1562473157,,0.0326681588,,0.60379253,,0.0257524961,,0.0,,0.05410494032
41,43,Coleoptera_Group_133,,,,2.0,0.0,native,0.1241109747,0.0015231133,0.02098882325,0.0,0.4899493,0.00632915,0.0230957148,0.0,0.0,0.31779923,0.04283876566
42,44,Coleoptera_Group_134,Trechus apicalis,native,66.0,2.0,0.0,native,0.1247659666,0.0015231133,0.0195935025,0.0,0.5310427,0.0064103,0.0137933221,0.0,0.0,0.31777972,0.03689628442
43,45,Coleoptera_Group_135,,,,3.0,,native,0.1241109747,0.0,0.02318865637,0.0,0.4899493,0.0,0.0196559168,0.0,0.0,1.0,0.04732868557
44,46,Coleoptera_Group_136,Tachys scitulus,native,100.0,1.0,,native,0.1268993003,,0.0105154194,,0.57965038,,0.01856291735,,0.0,,0.0181409687
45,47,Coleoptera_Group_137,Clivina dentipes,native,100.0,1.0,,native,0.1252772704,,0.0162939199,,0.48238612,,0.0,,0.0,,0.03377775443
46,48,Coleoptera_Group_138,,,,1.0,,native,0.1202569335,,0.01354368539,,0.51902544,,0.0137933221,,0.0,,0.02609445384
47,49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,1.0,,native,0.1219636796,,0.01580995226,,0.52013931,,0.01362660976,,0.0,,0.03039561124
48,50,Coleoptera_Group_14,,,,1.0,,introduced,0.2392623787,,0.0723451996,,0.81452513,,0.0957669051,,0.0,,0.0888188675
49,51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,2.0,,native,0.1129351503,0.0,0.0131537942,0.0,0.50496183,0.0,0.00976858165,0.0,0.0,1.0,0.02604908613
50,52,Coleoptera_Group_141,,,,1.0,,native,0.1097376986,,0.0081301609,,0.46955789,,0.0092166551,,0.0,,0.01731450173
51,53,Coleoptera_Group_142,Syntomus americanus,native,100.0,7.0,0.0,native,0.1102653362,0.0009686495476,0.01332152676,0.0,0.48216409,0.00406726,0.01724582641,0.0,0.0,0.75913071,0.02762861657
52,54,Coleoptera_Group_143,Calathus ingratus,native,100.0,14.0,0.05934803809,native,0.1330720708,0.001070387415,0.01141351348,0.0002189313516,0.56454193,0.00368894,0.01396965149,0.00049466,0.0,0.61739553,0.02021729986
53,55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,3.0,0.0,native,0.08876324343,0.001016732067,0.0020140999,0.0,0.43029696,0.00416669,0.0,0.0,0.0,0.54521217,0.004680720728
54,56,Coleoptera_Group_145,Stenolophus comma,native,100.0,1.0,,native,0.0700506412,,0.0,,0.33232904,,0.0,,0.0,,0.0
55,57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,1.0,,native,0.0700506412,,0.0,,0.33232904,,0.0,,0.0,,0.0
56,58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,12.0,0.02517136634,native,0.1113085864,0.006229890508,0.02091083838,0.0006089026515,0.40123212,0.02419029,0.01975510876,0.00138687,0.0,0.10243399,0.05211656129
57,59,Coleoptera_Group_148,Dicaelus politus,native,100.0,10.0,0.0,native,0.1065487512,0.001344598851,0.01329115109,0.0,0.46373486,0.00553117,0.01208972012,0.0,0.0,0.55169462,0.02866109977
58,61,Coleoptera_Group_149,Cymindis limbata,native,66.0,7.0,0.02970111317,native,0.05854924784,0.005097153352,0.0002967069048,0.0005756503429,0.27548932,0.01938144,0.0006538095714,0.00130762,0.0,0.2011632,0.001077017812
59,62,Coleoptera_Group_15,,,,1.0,,introduced,0.2215117192,,0.0712079599,,0.62258144,,0.1008046991,,0.0,,0.1143753336
60,63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,3.0,0.0,native,0.05854924784,0.0179034325,0.0002967069048,0.0,0.27548932,0.07634995,0.0,0.0,0.0,0.00276847,0.001077017812
61,64,Coleoptera_Group_151,Myas cyanescens,native,100.0,15.0,0.0,native,0.1200633679,0.001051899381,0.01379361899,0.0,0.52213396,0.00392543,0.01928235107,0.0,0.0,0.64033339,0.02641777791
62,65,Coleoptera_Group_152,,,,1.0,,native,0.1149678595,,0.0152444273,,0.48128397,,0.01438133363,,0.0,,0.03167449624
63,66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,191.0,0.03748718408,native,0.127225408,0.003759136002,0.01358106182,0.0005215910562,0.51766417,0.01391385,0.01577005883,0.00113394,0.0,0.35331709,0.02623527493
64,67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,20.0,0.003954176057,native,0.06779485567,0.0155587615,0.00012210023,0.0002614410263,0.32493074,0.0661177,0.00027700902,0.00059224,1.29e-08,0.08678961,0.0003757730955
65,68,Coleoptera_Group_155,,,,1.0,,native,0.05275385471,,0.00012210023,,0.23807982,,0.0,,2.56e-10,,0.0005128541764
66,69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,2.0,0.0,native,0.1027891457,0.0017114958,0.0053032906,0.0,0.44368417,0.00717709,0.002002291813,0.0,0.0,0.31759537,0.01195285061
67,70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,3.0,,native,0.130085902,0.0,0.007301014284,0.0,0.56029261,0.0,0.004576667,0.0,0.0,1.0,0.01303071673
68,71,Coleoptera_Group_158,,,,1.0,,native,0.0992297362,,0.0081027122,,0.43709934,,0.004576667,,0.0,,0.01853746153
69,72,Coleoptera_Group_159,Amara lunicollis,native,66.0,5.0,,native,0.1021013614,0.00060924532,0.01253358354,0.00080213952,0.3889373,0.0,0.01038738816,0.00183067,0.0,0.72753587,0.03222520324
70,73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,1.0,,native,0.2083633613,,0.050245502,,0.89131214,,0.0660617507,,0.0,,0.05637250941
71,74,Coleoptera_Group_160,,,,1.0,,native,0.0911237098,,0.006050453,,0.43276359,,0.004682934604,,0.0,,0.01398096591
72,75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,8.0,0.0,native,0.09844307373,0.001218961118,0.007712470423,0.0,0.41860197,0.00513277,0.002002291813,0.0,0.0,0.58141537,0.01842435291
73,76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,6.0,0.0,native,0.08314715434,0.00183154772,0.004116735623,0.0,0.39321907,0.0076273,0.0,0.0,0.0,0.49436166,0.01046931834
74,77,Coleoptera_Group_163,Agonum retractum,native,100.0,26.0,0.0,native,0.08314715434,0.002199895017,0.004116735623,0.0,0.39321907,0.00910906,0.004682934604,0.0,0.0,0.48966143,0.01046931834
75,78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,1.0,,native,0.0952054326,,0.0060565605,,0.43709934,,0.004576667,,0.0,,0.01385625634
76,79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,1.0,,native,0.0959800899,,0.0070826833,,0.36914366,,0.0091743763,,0.0,,0.01918679384
