Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,predict prob,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,native,0.46733543868759747,0.5326645613124028,1.0,0.11501693005576598,0.07230371492079077,0.0,0.6708331068290015,0.07785250476460105,0.07146144662743467,0.0,0.0,0.3766618086014797,0.022867986637765143,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,introduced,0.6469721284701011,0.35302787152989823,0.8017113000818582,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,1.0,0.0519188481886274,0.04745380300671628
3,Blattodea_Group_3,Periplaneta americana,introduced,100.0,100.0,1,1.0,3,introduced,0.6625619523113598,0.33743804768863866,0.8017113000818582,1.0,0.07230371492079077,0.0,0.4013201359476053,0.7268483896037043,0.07146144662743467,0.0,0.0,5.056150194661784e-05,0.037217481048908874,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,native,100.0,100.0,1,1.0,3,introduced,0.6587486136750936,0.3412513863249054,0.4938322562408558,0.01457260700766447,0.3905580820226135,0.0,0.43418975548426003,0.018344596281748487,0.46577884590256935,0.0,0.0,0.5452265524912223,0.18674390158088433,0.0
5,Coleoptera_Group_10,Lilioceris lilii,introduced,100.0,100.0,1,1.0,1,introduced,0.6053592506269438,0.39464074937305504,0.36968732901723683,0.05037945131056341,0.15256568492604924,0.041723175312406005,0.3368842432511314,0.06532519391654028,0.17423458587159568,0.03820208068461324,0.0,0.5321156457992706,0.0923923210142154,0.04745380300671628
6,Coleoptera_Group_100,,,,,0,,1,introduced,0.5964480961443751,0.40355190385562395,0.2900602217042849,0.05037945131056341,0.07010752504109366,0.041723175312406005,0.2760999158154683,0.06532519391654028,0.057639229730441444,0.03820208068461324,0.0,0.5321156457992706,0.05093752639680204,0.04745380300671628
7,Coleoptera_Group_101,Epuraea corticina,native,100.0,100.0,1,1.0,2,introduced,0.6519598864725392,0.3480401135274593,0.29687729587858513,0.19807795844888185,0.16006182109434322,0.0,0.2715324030168002,0.26579099077883417,0.11224582709179971,0.0,0.0,0.0024906415958897013,0.11806723028088228,0.0
8,Coleoptera_Group_102,,,,,0,,2,introduced,0.6501606518690983,0.34983934813090084,0.25207340637290404,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,1.0,0.1286440375674688,0.04745380300671628
9,Coleoptera_Group_103,,,,,0,,1,native,0.49413592084801194,0.5058640791519878,0.2136866718209997,0.05037945131056341,0.04331332143895623,0.041723175312406005,0.2668204252041572,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.03245973780796724,0.04745380300671628
10,Coleoptera_Group_104,Bembidion concretum,native,100.0,100.0,1,1.0,1,introduced,0.5620616971441648,0.4379383028558348,0.1900731161219642,0.05037945131056341,0.04331332143895623,0.041723175312406005,0.2144521134500297,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.039465440075502005,0.04745380300671628
11,Coleoptera_Group_105,,,,,0,,2,introduced,0.5594176628789291,0.4405823371210702,0.1900731161219642,0.2892832897631084,0.039840822717429655,0.0,0.2144521134500297,0.3858428566540525,0.02471082807331744,0.0,0.0,0.0002618115100797431,0.03630143221546829,0.0
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,introduced,0.5608514544511829,0.43914854554881627,0.24983539884938077,0.2154353756466854,0.08215391682785499,0.6549308694134656,0.2441368557329261,0.20763069631474088,0.06476792868085272,0.6501924933459877,0.0,0.27377706204041696,0.06669587552528197,0.18416069831314888
13,Coleoptera_Group_107,,,,,0,,2,native,0.13566671880385467,0.8643332811961454,0.24955756549144553,0.06566863857619688,0.02916222056672582,0.0,0.27900447329087885,0.08410891083359456,0.0,0.0,0.0,0.08295509469377116,0.020987849223487644,0.0
14,Coleoptera_Group_108,,,,,0,,1,introduced,0.574130204017484,0.4258697959825151,0.2305111766554539,0.05037945131056341,0.0654599990897347,0.041723175312406005,0.2637276859402224,0.06532519391654028,0.049534743468119084,0.03820208068461324,0.0,0.5321156457992706,0.04957657350910848,0.04745380300671628
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,introduced,0.654735088091654,0.3452649119083449,0.2691244559292814,0.01457260700766447,0.06966900473625627,0.0,0.23775962237092424,0.01872919493273186,0.036894373791542215,0.0,0.0,0.5452058524904253,0.05791639154085435,0.0
16,Coleoptera_Group_11,,,,,0,,1,introduced,0.6079483515465693,0.3920516484534297,0.4213313058335772,0.05037945131056341,0.33668888613277137,0.041723175312406005,0.3037876999622842,0.06532519391654028,0.2930569461913487,0.03820208068461324,0.0,0.5321156457992706,0.22422310387461014,0.04745380300671628
17,Coleoptera_Group_110,,,,,0,,1,introduced,0.549213824752817,0.4507861752471828,0.22478031296627754,0.05037945131056341,0.05824873617725329,0.041723175312406005,0.2328555236845526,0.06532519391654028,0.02471082807331744,0.03820208068461324,0.0,0.5321156457992706,0.049332326449344495,0.04745380300671628
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,introduced,0.5868548073294763,0.41314519267052313,0.2322664438166167,0.05037945131056341,0.061403535020500465,0.041723175312406005,0.23339662171823822,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.05189663241346227,0.04745380300671628
19,Coleoptera_Group_112,,,,,0,,1,introduced,0.5610036131340018,0.43899638686599757,0.22478031296627754,0.05037945131056341,0.05419744365862955,0.041723175312406005,0.22824730977846625,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.04672604276168458,0.04745380300671628
20,Coleoptera_Group_113,,,,,0,,1,introduced,0.6048112154906538,0.3951887845093452,0.23182614970305715,0.05037945131056341,0.0988376953312474,0.041723175312406005,0.20801320657554032,0.06532519391654028,0.06888276879857921,0.03820208068461324,0.0,0.5321156457992706,0.09251210847843325,0.04745380300671628
21,Coleoptera_Group_114,,,,,0,,1,introduced,0.5610036131340018,0.43899638686599757,0.2283881970746648,0.05037945131056341,0.05235907592465039,0.041723175312406005,0.24772300389446578,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.04195472994934251,0.04745380300671628
22,Coleoptera_Group_115,,,,,0,,1,introduced,0.5133800291767375,0.48661997082326247,0.1934286069344613,0.05037945131056341,0.03732140801422716,0.041723175312406005,0.2008602105221002,0.06532519391654028,0.051193901392492705,0.03820208068461324,0.0,0.5321156457992706,0.03602377487698532,0.04745380300671628
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,100.0,1,1.0,6,introduced,0.5098846391001449,0.490115360899855,0.24955756549144553,0.5042182650935575,0.06521257416373492,0.0,0.2683421724339415,0.7086431154116675,0.012241667510788874,0.0,0.0,0.009189651853801597,0.04862060839903737,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,100.0,1,1.0,45,native,0.13635514545453536,0.8636448545454645,0.12770612580618282,0.01898997928340166,0.0010368664112932427,0.05142551484200522,0.15751727470842045,0.018211393822139606,0.0013601852790954216,0.05046033678303305,0.0,0.5910889242569236,0.001234402639911133,0.16486501812588591
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,2,native,0.09433447051797125,0.9056655294820288,0.04008290971237274,0.0,0.0002246648504861898,0.0,0.0475160326279211,0.0,0.00038255210984589234,0.0,1.9941708851050772e-09,1.0,0.0006583681581305027,0.04745380300671628
