Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,dN/dS_Distance,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
77,Coleoptera_Group_163,Agonum retractum,native,100.0,100.0,1,1.0,26,0.01046931834,0.0,native,0.11517434585910653,0.03155899276963318,0.014611149972076874,0.0,0.13537346805825548,0.04068910787138985,0.012525912065906425,0.0,3.911642890013805e-13,0.4896614103519643,0.019749758832056423
78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,100.0,1,1.0,1,0.013856256340000001,,native,0.13674155437820418,0.050379451310563414,0.02149599145644649,0.041723175312406005,0.15362564570580708,0.06532519391654026,0.012241667510788874,0.03820208068461324,0.0,0.5321156457992704,0.026139019957449574
79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,100.0,1,1.0,1,0.01918679384,,native,0.13812709177912502,0.050379451310563414,0.02513791444921853,0.041723175312406005,0.12535920287124452,0.06532519391654026,0.024539618959269142,0.03820208068461324,0.0,0.5321156457992704,0.0361947682546432
80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,100.0,1,1.0,4,0.029476099060000004,0.0,native,0.13536611732723525,0.011611912787152123,0.0423759812803,0.0,0.1402983561298981,0.014968525893673703,0.020792491551043325,0.0,5.813775118883264e-13,0.6588547768659089,0.05560494282809296
81,Coleoptera_Group_167,,,,,0,,1,0.004852043994,,native,0.12746046086619445,0.050379451310563414,0.007153261404533058,0.041723175312406005,0.1445923375209192,0.06532519391654026,0.0,0.03820208068461324,0.0,0.5321156457992704,0.009153098187673204
86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,50.0,1,1.0,2,0.01026218378,,native,0.1685617599108542,0.0,0.021388042657693687,0.0,0.21606838208655624,0.0,0.0,0.0,0.0,0.9999999999999999,0.019359011557694327
87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,100.0,1,1.0,1,0.0347857262,,native,0.09198441713030713,0.050379451310563414,0.03580290432344417,0.041723175312406005,0.0924356756849076,0.06532519391654026,0.024539618959269142,0.03820208068461324,2.5157232704402513e-11,0.5321156457992704,0.06562124494993114
88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,100.0,1,1.0,15,0.008387043790000001,,native,0.06413540551542246,0.0,0.0072837701567205395,0.0,0.07359211947362723,0.0,0.0,0.0,4.233778186838472e-10,0.9999999999999999,0.015821669261266966
89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,100.0,1,3.0,8,0.033540842200000004,0.01941632978,native,0.11334191022356709,0.09245270274787222,0.040958368540217185,0.059070341471064755,0.11492656690393341,0.11524884962121276,0.025431859464311982,0.05838905330196594,1.3882497315539193e-12,0.16947717802487133,0.06327284384343794
90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,100.0,1,1.0,16,0.02940840143,0.0,native,0.10491032383494824,0.019704764803272653,0.03335668574086036,0.0,0.1047431373492583,0.02155869748184815,0.025527222862197774,0.0,4.295137290995551e-11,0.6570839367977315,0.055477235194932785
91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,100.0,1,1.0,8,0.016504246650000002,0.0,native,0.023533046530777785,0.010605324577494583,0.007774479453271662,0.0,0.027018809348147155,0.01374862006808066,0.01318587175079041,0.0,1.7180549163982205e-06,0.6832304078043706,0.03113429933608029
92,Coleoptera_Group_175,,,,,0,,1,0.02448040315,,native,0.1280936585839435,0.050379451310563414,0.03230943546285579,0.041723175312406005,0.12648904647928785,0.06532519391654026,0.0370647922347997,0.03820208068461324,2.500383494400981e-12,0.5321156457992704,0.04618085367380417
93,Coleoptera_Group_176,Notiobia terminata,native,66.0,100.0,1,1.0,1,0.01626473525,,native,0.11538549991226112,0.050379451310563414,0.021488761010421045,0.041723175312406005,0.1266506737588946,0.06532519391654026,0.012241667510788874,0.03820208068461324,0.0,0.5321156457992704,0.03068247504017983
94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,100.0,1,1.0,2,0.05474186952000001,,native,0.07810931793336394,0.0,0.046654076763141844,0.0,0.07169363430811604,0.0,0.06177641097890796,0.0,3.4821291609142503e-09,0.9999999999999999,0.10326734615616823
95,Coleoptera_Group_178,Harpalus faunus,native,100.0,100.0,1,1.0,1,0.028405643460000005,,native,0.07810931793336394,0.050379451310563414,0.024208874893708106,0.041723175312406005,0.07169363430811604,0.06532519391654026,0.027720641298206544,0.03820208068461324,3.650866697346219e-10,0.5321156457992704,0.05358559073143829
96,Coleoptera_Group_179,Anisodactylus discoideus,native,100.0,100.0,1,1.0,1,0.02293695769,,native,0.07882426994009915,0.050379451310563414,0.021488761010421045,0.041723175312406005,0.08160915199486027,0.06532519391654026,0.012241667510788874,0.03820208068461324,3.819604233778186e-10,0.5321156457992704,0.04326923377502169
97,Coleoptera_Group_18,Podabrus rugosulus,native,66.0,50.0,1,1.0,2,0.01026218378,0.0,native,0.1685617599108542,0.02185009795948464,0.021388042657693687,0.0,0.21606838208655624,0.02827157435390777,0.0,0.0,3.589507593189139e-13,0.3177992037352693,0.019359011557694327
98,Coleoptera_Group_180,Trichotichnus autumnalis,native,100.0,100.0,1,1.0,10,0.025840388790000002,0.16440790460000002,native,0.07882426994009915,0.03763888970738971,0.024208874893708106,0.13777802930432304,0.08160915199486027,0.031746184187286766,0.015106020500681314,0.09310109355803896,6.13591041570793e-11,0.4630769893284641,0.0487463873153249
99,Coleoptera_Group_181,Agonum ferreum,native,100.0,100.0,1,1.0,2,0.009821258142,0.0,native,0.12524430801505576,0.02185009795948464,0.014292146033238876,0.0,0.14235947102436583,0.02821207546852915,0.0,0.0,2.6691210308329498e-14,0.31780240373539254,0.018527231041469177
100,Coleoptera_Group_182,Platynus cincticollis,native,100.0,100.0,1,1.0,1,0.01999588415,,native,0.1164840563824434,0.050379451310563414,0.025028177204681208,0.041723175312406005,0.11850308988789865,0.06532519391654026,0.012270202977442586,0.03820208068461324,1.4235312164442397e-12,0.5321156457992704,0.037721069965691724
101,Coleoptera_Group_183,Agonum mutatum,native,100.0,100.0,1,2.0,2,0.005932989596,0.0,native,0.09720492582029829,0.0437484433142598,0.007153261404533058,0.0,0.11311314434922481,0.0558373364796868,0.0,0.0,0.0,0.1573128375565442,0.011192239061678955
