Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
21,Coleoptera_Group_114,,,,1.0,introduced,0.6191616646663227,0.3808383353336775,0.22838819707466473,,0.05235907592465039,,0.24772300389446578,,0.036894373791542215,,0.0,,0.04195472994934252,
22,Coleoptera_Group_115,,,,1.0,introduced,0.6044038884604885,0.3955961115395117,0.19342860693446123,,0.03732140801422716,,0.2008602105221002,,0.051193901392492705,,0.0,,0.03602377487698533,
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,6.0,native,0.4181366646956358,0.581863335304364,0.24955756549144548,0.23322007497761205,0.06521257416373492,0.0,0.2683421724339415,0.11792332206978895,0.012241667510788874,0.0,0.0,0.009189651853801595,0.04862060839903738,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,45.0,native,0.17442832030331437,0.8255716796966854,0.12770612580618282,0.008783585797861693,0.0010368664112932427,0.007026499603376318,0.15751727470842045,0.003030507193709731,0.0013601852790954216,0.012319082230099487,0.0,0.5910889242569235,0.0012344026399111337,0.16486501812588591
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,2.0,native,0.0717194746146968,0.9282805253853029,0.04008290971237274,0.0,0.00022474736402958054,0.0,0.047325629644571925,0.0,0.0003825521098458923,0.0,1.9941708851050772e-09,0.9999999999999999,0.0006580044993291171,
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,2.0,introduced,0.6995781313313223,0.3004218686686766,0.20347293799001867,0.05080234126876696,0.08025348849899372,0.0,0.19512062645647102,0.02413758416731468,0.06177641097890796,0.0,0.0,0.02483809245626656,0.07945414186292848,0.0
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,1.0,introduced,0.667117666895766,0.33288233310423404,0.3459518707851751,,0.17824144099367853,,0.29938796640417037,,0.1483288663286772,,0.0,,0.1202969274952781,
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,2.0,introduced,0.6441235301496956,0.35587646985030436,0.20482076136999658,0.31346909539029283,0.07511909007243134,0.11469150830368656,0.19849270384710818,0.1362104302525084,0.0633076599014652,0.11422501554417112,0.0,4.1850001611225055e-07,0.07326454842539636,0.059872267651387714
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,16.0,introduced,0.5993611461131363,0.4006388538868633,0.20375234977076917,0.026793863595103377,0.055430435449157635,0.008240616886797296,0.22011988720206982,0.011110695173135282,0.03233757972942636,0.01435896138779265,0.0,0.3636541455006846,0.049353257369058344,0.05273795667426287
30,Coleoptera_Group_122,Platynus decentis,native,100.0,8.0,native,0.1718175249284342,0.828182475071566,0.19759280719251412,0.02978248597006416,0.025111607632655738,0.0,0.22919489062464404,0.014003234449360882,0.012270202977442586,0.0,0.0,0.29931022302344357,0.021570135093348645,0.0
31,Coleoptera_Group_123,,,,1.0,introduced,0.6156949912939742,0.38430500870602574,0.14754578503784307,,0.07914356992365792,,0.1406266187763197,,0.036894373791542215,,0.0,,0.10364872162582481,
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,1.0,introduced,0.6156949912939742,0.38430500870602574,0.14754578503784307,,0.07914356992365792,,0.1406266187763197,,0.036894373791542215,,0.0,,0.10364872162582481,
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,1.0,introduced,0.5736838944856073,0.4263161055143928,0.18989481551331533,,0.039840822717429655,,0.1760879400813479,,0.02471082807331744,,0.0,,0.04311905884742268,
