Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1,Blattodea_Group_1,Reticulitermes sp,,,,1,1.0,15,introduced,0.6080286866490605,0.3919713133509396,0.9999999999999999,0.05319969328426306,0.07230371492079077,0.0,0.6708331068290015,0.012955217927944714,0.07146144662743467,0.0,0.0,0.3766618086014796,0.022867986637765143,0.0
2,Blattodea_Group_2,Parcoblatta sp,,,,1,1.0,4,introduced,0.7046117861638459,0.29538821383615416,0.801711300081858,0.0,0.10086458008660314,0.0,0.4013201359476053,0.0,0.08872045794068724,0.0,0.0,0.9999999999999999,0.0519188481886274,0.042870875800343315
3,Blattodea_Group_3,Periplaneta americana,Introduced,100.0,100.0,1,1.0,3,introduced,0.6771161182628592,0.3228838817371411,0.801711300081858,0.4625379347063878,0.07230371492079077,0.0,0.4013201359476053,0.12095281091294131,0.07146144662743467,0.0,0.0,5.056150194661783e-05,0.037217481048908874,0.0
4,Coleoptera_Group_1,Trixagus carinicollis,Native,100.0,100.0,1,1.0,3,introduced,0.701907325507539,0.29809267449246113,0.4938322562408557,0.006740383548612958,0.3905580820226135,0.0,0.43418975548426003,0.003052673043067939,0.46577884590256935,0.0,0.0,0.5452265524912222,0.18674390158088433,0.0
5,Coleoptera_Group_10,Lilioceris lilii,Introduced,100.0,100.0,1,1.0,1,introduced,0.6767977196113463,0.3232022803886541,0.3696873290172368,0.03876588931059634,0.15256568492604924,0.014755502862061018,0.3368842432511314,0.02300575183692591,0.17423458587159568,0.01857153837783813,0.0,0.4847996157543661,0.0923923210142154,0.042870875800343315
6,Coleoptera_Group_100,,,,,0,,1,introduced,0.6628882269349402,0.3371117730650599,0.29006022170428486,0.03876588931059634,0.07010752504109366,0.014755502862061018,0.2760999158154683,0.02300575183692591,0.057639229730441444,0.01857153837783813,0.0,0.4847996157543661,0.05093752639680204,0.042870875800343315
7,Coleoptera_Group_101,Epuraea corticina,Native,100.0,100.0,1,1.0,2,introduced,0.6785295083990105,0.32147049160098995,0.2968772958785851,0.09161856981180351,0.16006182109434322,0.0,0.2715324030168002,0.04422953659918491,0.11224582709179971,0.0,0.0,0.002490641595889701,0.11806723028088228,0.0
8,Coleoptera_Group_102,,,,,0,,2,introduced,0.7038596405599249,0.29614035944007505,0.252073406372904,0.0,0.14454705817269867,0.0,0.2202268997100463,0.0,0.1395864369145683,0.0,0.0,0.9999999999999999,0.1286440375674688,0.042870875800343315
9,Coleoptera_Group_103,,,,,0,,1,introduced,0.6174185456642997,0.3825814543357,0.21368667182099965,0.03876588931059634,0.04331332143895623,0.014755502862061018,0.2668204252041572,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.03245973780796724,0.042870875800343315
10,Coleoptera_Group_104,Bembidion concretum,Native,100.0,100.0,1,1.0,1,introduced,0.6214891588505436,0.37851084114945643,0.19007311612196415,0.03876588931059634,0.04331332143895623,0.014755502862061018,0.2144521134500297,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.039465440075502005,0.042870875800343315
11,Coleoptera_Group_105,,,,,0,,2,introduced,0.6069327960657274,0.3930672039342727,0.19007311612196415,0.13380449539209768,0.039840822717429655,0.0,0.2144521134500297,0.06420703237497946,0.02471082807331744,0.0,0.0,0.00026181151007974307,0.03630143221546829,0.0
12,Coleoptera_Group_106,Quedius laticollis,Native,33.0,50.0,1,1.0,6,introduced,0.6322144272759354,0.36778557272406487,0.24983539884938072,0.0996470337143127,0.08215391682785499,0.0894861530956174,0.2441368557329261,0.03455124440018599,0.06476792868085272,0.15873407316646904,0.0,0.2737770620404169,0.06669587552528197,0.18416069831314888
13,Coleoptera_Group_107,,,,,0,,2,native,0.31039407812468267,0.6896059218753171,0.24955756549144548,0.030374236462014332,0.02916222056672582,0.0,0.27900447329087885,0.013996328991931713,0.0,0.0,0.0,0.08295509469377114,0.020987849223487644,0.0
14,Coleoptera_Group_108,,,,,0,,1,introduced,0.6540424579037243,0.3459575420962755,0.23051117665545384,0.03876588931059634,0.0654599990897347,0.014755502862061018,0.2637276859402224,0.02300575183692591,0.049534743468119084,0.01857153837783813,0.0,0.4847996157543661,0.04957657350910848,0.042870875800343315
15,Coleoptera_Group_109,Cercyon praetextatus,Native,100.0,100.0,1,1.0,3,introduced,0.6669564859607997,0.3330435140392004,0.26912445592928136,0.006740383548612958,0.06966900473625627,0.0,0.23775962237092424,0.0031166730306514943,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085435,0.0
16,Coleoptera_Group_11,,,,,0,,1,introduced,0.6772199800133907,0.3227800199866097,0.4213313058335771,0.03876588931059634,0.33668888613277137,0.014755502862061018,0.3037876999622842,0.02300575183692591,0.2930569461913487,0.01857153837783813,0.0,0.4847996157543661,0.22422310387461014,0.042870875800343315
17,Coleoptera_Group_110,,,,,0,,1,introduced,0.6216898499548836,0.3783101500451165,0.22478031296627748,0.03876588931059634,0.05824873617725329,0.014755502862061018,0.2328555236845526,0.02300575183692591,0.02471082807331744,0.01857153837783813,0.0,0.4847996157543661,0.049332326449344495,0.042870875800343315
18,Coleoptera_Group_111,Asaphidion curtum,Introduced,100.0,100.0,1,1.0,1,introduced,0.6350747550628959,0.36492524493710404,0.23226644381661665,0.03876588931059634,0.061403535020500465,0.014755502862061018,0.23339662171823822,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.05189663241346227,0.042870875800343315
19,Coleoptera_Group_112,,,,,0,,1,introduced,0.6267592016794561,0.37324079832054374,0.22478031296627748,0.03876588931059634,0.05419744365862955,0.014755502862061018,0.22824730977846625,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.04672604276168458,0.042870875800343315
20,Coleoptera_Group_113,,,,,0,,1,introduced,0.664045369587577,0.3359546304124231,0.2318261497030571,0.03876588931059634,0.0988376953312474,0.014755502862061018,0.20801320657554032,0.02300575183692591,0.06888276879857921,0.01857153837783813,0.0,0.4847996157543661,0.09251210847843325,0.042870875800343315
21,Coleoptera_Group_114,,,,,0,,1,introduced,0.6321687101435255,0.3678312898564743,0.22838819707466473,0.03876588931059634,0.05235907592465039,0.014755502862061018,0.24772300389446578,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.04195472994934251,0.042870875800343315
22,Coleoptera_Group_115,,,,,0,,1,introduced,0.6223896940373301,0.3776103059626698,0.19342860693446123,0.03876588931059634,0.03732140801422716,0.014755502862061018,0.2008602105221002,0.02300575183692591,0.051193901392492705,0.01857153837783813,0.0,0.4847996157543661,0.03602377487698532,0.042870875800343315
23,Coleoptera_Group_116,Enochrus ochraceus,Native,100.0,100.0,1,1.0,6,native,0.43840812480344854,0.5615918751965516,0.24955756549144548,0.23322007497761205,0.06521257416373492,0.0,0.2683421724339415,0.11792332206978895,0.012241667510788874,0.0,0.0,0.009189651853801595,0.04862060839903737,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,Native,100.0,100.0,1,1.0,45,native,0.2502801503579495,0.7497198496420513,0.1277061258061828,0.008783585797861693,0.0010368664112932427,0.00702649960337632,0.15751727470842045,0.003030507193709731,0.0013601852790954216,0.012319082230099487,0.0,0.5910889242569235,0.001234402639911133,0.16486501812588591
25,Coleoptera_Group_118,Sphaeroderus stenostomus,Native,100.0,100.0,1,2.0,2,native,0.11021903186620523,0.8897809681337948,0.04008290971237273,0.0,0.0002246648504861898,0.0,0.0475160326279211,0.0,0.00038255210984589234,0.0,1.9941708851050772e-09,0.9999999999999999,0.0006583681581305027,0.042870875800343315
26,Coleoptera_Group_119,Dineutus nigrior,Native,100.0,100.0,1,1.0,2,introduced,0.6520432200837659,0.3479567799162344,0.20347293799001864,0.05080234126876696,0.0802534884989937,0.0,0.19512062645647107,0.02413758416731468,0.06177641097890796,0.0,0.0,0.02483809245626656,0.07945414186292848,0.0
27,Coleoptera_Group_12,Cryptarcha ampla,Native,100.0,100.0,1,1.0,1,introduced,0.6767977196113463,0.3232022803886541,0.3459518707851751,0.03876588931059634,0.17824144099367853,0.014755502862061018,0.29938796640417037,0.02300575183692591,0.1483288663286772,0.01857153837783813,8.666973462187451e-14,0.4847996157543661,0.12029692749527807,0.042870875800343315
28,Coleoptera_Group_120,Brachinus fulminatus,Native,100.0,100.0,1,1.0,2,introduced,0.6493898942692415,0.3506101057307586,0.20482076136999655,0.31346909539029283,0.07511909007243134,0.11469150830368659,0.19849270384710818,0.1362104302525084,0.0633076599014652,0.11422501554417112,0.0,4.185000161122506e-07,0.07326454842539634,0.0598722676513877
29,Coleoptera_Group_121,Notiophilus aeneus,Native,100.0,100.0,1,1.0,16,introduced,0.5945946900922326,0.4054053099077676,0.20375234977076917,0.026793863595103377,0.055430435449157635,0.008240616886797296,0.22011988720206982,0.011110695173135282,0.032337579729426365,0.01435896138779265,0.0,0.3636541455006846,0.04935325736905834,0.05273795667426287
30,Coleoptera_Group_122,Platynus decentis,Native,100.0,100.0,1,1.0,8,native,0.28869384315953434,0.7113061568404655,0.19759280719251415,0.02978248597006416,0.025111607632655734,0.0,0.22919489062464404,0.014003234449360882,0.012270202977442586,0.0,0.0,0.29931022302344357,0.02157013509334864,0.0
31,Coleoptera_Group_123,,,,,0,,1,introduced,0.632639664204713,0.367360335795287,0.14754578503784305,0.03876588931059634,0.07914356992365792,0.014755502862061018,0.1406266187763197,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.10364872162582478,0.042870875800343315
32,Coleoptera_Group_124,Dyschirius dejeanii,Native,100.0,100.0,1,1.0,1,introduced,0.632639664204713,0.367360335795287,0.14754578503784305,0.03876588931059634,0.07914356992365792,0.014755502862061018,0.1406266187763197,0.02300575183692591,0.036894373791542215,0.01857153837783813,2.65378125479368e-12,0.4847996157543661,0.10364872162582478,0.042870875800343315
33,Coleoptera_Group_125,Bembidion immaturum,Native,100.0,100.0,1,1.0,1,introduced,0.609033830464428,0.3909661695355721,0.18989481551331533,0.03876588931059634,0.039840822717429655,0.014755502862061018,0.17608794008134787,0.02300575183692591,0.02471082807331744,0.01857153837783813,0.0,0.4847996157543661,0.04311905884742268,0.042870875800343315
34,Coleoptera_Group_126,Carabus goryi,Native,100.0,100.0,2,1.0,16,introduced,0.5139736026423226,0.4860263973576774,0.22406157165375123,0.022413020124172626,0.02939797184320859,0.002874135427989047,0.28198774591772363,0.009933489362032448,0.01965716499263882,0.005007564680323426,4.6479521398987575e-11,0.47134613964682637,0.020954024380337617,0.02057359587920624
35,Coleoptera_Group_126,Carabus nemoralis,Introduced,100.0,100.0,2,2.0,16,introduced,0.5139736026423226,0.4860263973576774,0.22406157165375123,0.022413020124172626,0.02939797184320859,0.002874135427989047,0.28198774591772363,0.009933489362032448,0.01965716499263882,0.005007564680323426,4.6479521398987575e-11,0.47134613964682637,0.020954024380337617,0.02057359587920624
36,Coleoptera_Group_127,Clivina americana,Native,66.0,50.0,1,1.0,2,native,0.4781681951683186,0.5218318048316815,0.1751444274761756,0.0,0.05783050676409876,0.0,0.18325876392695914,0.0,0.0,0.0,6.18192974382574e-14,0.9999999999999999,0.06046640097439287,0.042870875800343315
37,Coleoptera_Group_128,,,,,0,,1,introduced,0.5963022561859809,0.4036977438140192,0.18920978412523748,0.03876588931059634,0.03921736483821427,0.014755502862061018,0.23525627756972284,0.02300575183692591,0.025363925029965116,0.01857153837783813,0.0,0.4847996157543661,0.032911497700747576,0.042870875800343315
38,Coleoptera_Group_129,Calosoma frigidum,Native,100.0,100.0,1,1.0,1,introduced,0.5185067797728541,0.4814932202271461,0.18243555487446383,0.03876588931059634,0.02885563006362031,0.014755502862061018,0.222518748496144,0.02300575183692591,0.024652706280753348,0.01857153837783813,0.0,0.4847996157543661,0.0254461789257115,0.042870875800343315
39,Coleoptera_Group_13,Judolia cordifera,Native,100.0,100.0,1,1.0,1,introduced,0.6767977196113463,0.3232022803886541,0.3447415615683001,0.03876588931059634,0.16480200667379186,0.014755502862061018,0.3383723897097634,0.02300575183692591,0.17670195084108678,0.01857153837783813,0.0,0.4847996157543661,0.09939734603031047,0.042870875800343315
40,Coleoptera_Group_130,Carabus nemoralis,Introduced,100.0,100.0,1,2.0,17,native,0.3736426503677073,0.6263573496322932,0.17300197972675524,0.0,0.025528914301484535,0.0,0.21322568530297237,0.0,0.012651826482961781,0.0,0.0,0.9999999999999999,0.023379139657616815,0.042870875800343315
41,Coleoptera_Group_131,Carabus serratus,Native,100.0,100.0,1,1.0,18,native,0.33682706643258165,0.6631729335674187,0.17300197972675524,0.011045209736393271,0.025528914301484535,0.0,0.21322568530297237,0.0050777634748088146,0.012651826482961781,0.0,0.0,0.5378797922083719,0.023379139657616815,0.0
42,Coleoptera_Group_132,Habrocerus capillaricornis,Introduced,100.0,50.0,1,1.0,1,introduced,0.6647750886496296,0.3352249113503704,0.24591991241819183,0.03876588931059634,0.1159460823453571,0.014755502862061018,0.22296235937044667,0.02300575183692591,0.06888276879857921,0.01857153837783813,0.0,0.4847996157543661,0.10206581634452486,0.042870875800343315
43,Coleoptera_Group_133,,,,,0,,2,introduced,0.6474251675414638,0.35257483245853605,0.18844146048306248,0.010106499183312283,0.07449369411283277,0.0,0.17560880256846986,0.004704593744651175,0.06177641097890796,0.0,0.0,0.3177992037352693,0.08081283451048261,0.0
44,Coleoptera_Group_134,Trechus apicalis,Native,66.0,100.0,1,1.0,2,introduced,0.6317343803167234,0.36826561968327637,0.18961296661196647,0.010106499183312283,0.06954141089515457,0.0,0.19270177024943214,0.004764914290439858,0.036894373791542215,0.0,0.0,0.3177796937345182,0.06960269001562912,0.0
45,Coleoptera_Group_135,,,,,0,,3,introduced,0.6949459933398021,0.3050540066601975,0.18844146048306248,0.0,0.08230135886795706,0.0,0.17560880256846986,0.0,0.05257564032631808,0.0,4.739990796134376e-14,0.9999999999999999,0.08928280672051175,0.042870875800343315
46,Coleoptera_Group_136,Tachys scitulus,Native,100.0,100.0,1,1.0,1,introduced,0.6223896940373301,0.3776103059626698,0.19342860693446123,0.03876588931059634,0.03732140801422716,0.014755502862061018,0.21292033340766572,0.02300575183692591,0.04965208572722334,0.01857153837783813,0.0,0.4847996157543661,0.034221880085163615,0.042870875800343315
47,Coleoptera_Group_137,Clivina dentipes,Native,100.0,100.0,1,1.0,1,native,0.42518070590452733,0.5748192940954724,0.1905274749218126,0.03876588931059634,0.05783050676409876,0.014755502862061018,0.1724628669363416,0.02300575183692591,0.0,0.01857153837783813,0.0,0.4847996157543661,0.06371976495662902,0.042870875800343315
48,Coleoptera_Group_138,,,,,0,,1,introduced,0.6213588131804719,0.3786411868195281,0.18154819525818172,0.03876588931059634,0.048069353130747915,0.014755502862061018,0.1877031418372365,0.02300575183692591,0.036894373791542215,0.01857153837783813,0.0,0.4847996157543661,0.04922566622367399,0.042870875800343315
49,Coleoptera_Group_139,Coptotomus longulus,Native,100.0,100.0,1,1.0,1,introduced,0.6271128101735567,0.3728871898264433,0.18460084906448537,0.03876588931059634,0.05611280506614057,0.014755502862061018,0.18816646061618383,0.02300575183692591,0.03644845167480845,0.01857153837783813,0.0,0.4847996157543661,0.05733954896082981,0.042870875800343315
50,Coleoptera_Group_14,,,,,0,,1,introduced,0.6772199800133907,0.3227800199866097,0.39439908459704187,0.03876588931059634,0.25676814299411616,0.014755502862061018,0.3106174456160517,0.02300575183692591,0.25615728886796246,0.01857153837783813,0.0,0.4847996157543661,0.16755161662811507,0.042870875800343315
51,Coleoptera_Group_140,Oxypselaphus pusillus,Native,100.0,100.0,1,1.0,2,introduced,0.6641399492437468,0.3358600507562535,0.16845259225407377,0.0,0.046685548298090206,0.0,0.18185332577899702,0.0,0.026128999250173403,0.0,0.0,0.9999999999999999,0.04914008268306855,0.042870875800343315
52,Coleoptera_Group_141,,,,,0,,1,introduced,0.5396451111695996,0.4603548888304003,0.16273369059525244,0.03876588931059634,0.02885563006362031,0.014755502862061018,0.16712691223816745,0.02300575183692591,0.024652706280753348,0.01857153837783813,0.0,0.4847996157543661,0.03266279831784385,0.042870875800343315
53,Coleoptera_Group_142,Syntomus americanus,Native,100.0,100.0,1,1.0,7,introduced,0.6651165341830395,0.3348834658169606,0.1636774132309678,0.006427398317469367,0.04728086599973422,0.0,0.17237051265039294,0.003023282108003434,0.04612913127828651,0.0,0.0,0.7591307007265319,0.052119774793366144,0.0
54,Coleoptera_Group_143,Calathus ingratus,Native,100.0,100.0,1,1.0,14,introduced,0.6384046484426128,0.3615953515573867,0.20446910754686248,0.007102471979940853,0.04050893048193225,0.0035272698313095516,0.2066359118811083,0.002742068689854641,0.03736601959071446,0.006158731836819457,0.0,0.6173955152697272,0.03813875779713544,0.09146715311144747
55,Coleoptera_Group_144,Stenolophus ochropezus,Native,100.0,100.0,1,1.0,3,native,0.250799259507563,0.7492007404924377,0.12521917662633575,0.006746446114535873,0.007148458971528432,0.0,0.15079616794310982,0.0030971905721780334,0.0,0.0,0.0,0.5452121524906678,0.008829906832139328,0.0
56,Coleoptera_Group_145,Stenolophus comma,Native,100.0,100.0,1,1.0,1,native,0.07604531954186951,0.9239546804581307,0.09175017006276183,0.03876588931059634,0.0,0.014755502862061018,0.11004601121888902,0.02300575183692591,0.0,0.01857153837783813,5.123485197116122e-14,0.4847996157543661,0.0,0.042870875800343315
57,Coleoptera_Group_146,Stenolophus lineola,Native,100.0,100.0,1,1.0,1,native,0.07604531954186951,0.9239546804581307,0.09175017006276183,0.03876588931059634,0.0,0.014755502862061018,0.11004601121888902,0.02300575183692591,0.0,0.01857153837783813,5.246203405430281e-14,0.4847996157543661,0.0,0.042870875800343315
58,Coleoptera_Group_147,Chlaenius emarginatus,Native,100.0,100.0,1,1.0,12,introduced,0.6185710013383557,0.3814289986616447,0.16554335081474608,0.041337951241858996,0.07421690960795543,0.009810216477192497,0.13870652895552693,0.01798116445577966,0.0528409589509992,0.01726713383441111,8.007363092498849e-13,0.10243395544370729,0.09831485519940616,0.03879409148375971
59,Coleoptera_Group_148,Dicaelus politus,Native,100.0,100.0,2,1.0,10,introduced,0.6472734501283884,0.35272654987161134,0.15702999956662678,0.0089219805181362,0.0471730564364014,0.0,0.16470479911062694,0.004111437994454585,0.032337579729426365,0.0,2.8071790151863783e-14,0.5516946027402422,0.054067494170686174,0.0
60,Coleoptera_Group_148,Poecilus lucublandus,Native,100.0,100.0,2,3.0,10,introduced,0.6472734501283884,0.35272654987161134,0.15702999956662678,0.0089219805181362,0.0471730564364014,0.0,0.16470479911062694,0.004111437994454585,0.032337579729426365,0.0,2.8071790151863783e-14,0.5516946027402422,0.054067494170686174,0.0
61,Coleoptera_Group_149,Cymindis limbata,Native,66.0,50.0,1,1.0,7,native,0.020940178769793035,0.9790598212302067,0.07117899534720301,0.03382176243172814,0.0010530744455783908,0.009274478383543531,0.08640329737785996,0.014406642501178207,0.0017488096443219875,0.016280436915177818,1.3330265378125477e-11,0.201163169244782,0.0020317313271065443,0.04577533400145493
62,Coleoptera_Group_15,,,,,0,,1,introduced,0.6694888186982828,0.3305111813017175,0.36265059061362304,0.03876588931059634,0.2527318430388641,0.014755502862061018,0.23077768327624443,0.02300575183692591,0.26963237873922624,0.01857153837783813,6.826200337475073e-12,0.4847996157543661,0.21576240033751803,0.042870875800343315
63,Coleoptera_Group_150,Cymindis platicollis,Native,100.0,100.0,1,1.0,3,native,0.04752686466420817,0.9524731353357911,0.07117899534720301,0.11879682617158988,0.0010530744455783908,0.0,0.08640329737785996,0.05675256506393907,0.0,0.0,3.5741678171498692e-12,0.0027684316065846163,0.0020317313271065443,0.0
64,Coleoptera_Group_151,Myas cyanescens,Native,100.0,100.0,1,1.0,15,introduced,0.6605693142539608,0.3394306857460393,0.18120198748562,0.006979796076236219,0.048956419400502646,0.0,0.18899614343592694,0.0029178568090606257,0.05157642682442136,0.0,0.0,0.6403333761528349,0.04983559823641083,0.0
65,Coleoptera_Group_152,,,,,0,,1,introduced,0.6357847086090781,0.364215291390922,0.1720882574982998,0.03876588931059634,0.05410563949608356,0.014755502862061018,0.1720044231392946,0.02300575183692591,0.0384671868545792,0.01857153837783813,0.0,0.4847996157543661,0.05975209097203533,0.042870875800343315
66,Coleoptera_Group_153,Synuchus impunctatus,Native,100.0,100.0,1,3.0,191,introduced,0.6042115265811663,0.39578847341883405,0.19401187700120986,0.0249434529487549,0.0482020098457188,0.00840351271469127,0.18713691601715193,0.010342464892444442,0.042181748600551495,0.014118045483853668,9.035128087129927e-14,0.353317065102707,0.04949131700203856,0.0577752208213287
67,Coleoptera_Group_154,Cymindis neglecta,Native,100.0,100.0,1,1.0,20,native,0.04348408811013643,0.9565159118898633,0.08771551471223313,0.10323894512187676,0.00043335908242147527,0.004212156175874982,0.10696865809663428,0.0491467128809908,0.000740943643120521,0.0073736452169934005,1.9788311090658073e-08,0.08678957484139863,0.000708874042290351,0.006094173261241815
68,Coleoptera_Group_155,,,,,0,,1,native,0.05425440524742987,0.9457455947525701,0.06081346476399556,0.03876588931059634,0.00043335908242147527,0.014755502862061018,0.0708426629581975,0.02300575183692591,0.0,0.01857153837783813,3.9269826660530753e-10,0.4847996157543661,0.0009674695114785212,0.042870875800343315
