Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1185,Lepidoptera_Group_443,Zale curema,Native,33.0,50.0,2,1.0,5,native,0.02163659197495592,0.9783634080250434,0.004892878211703644,0.0727774389289049,0.0,0.0,0.020223779222485222,0.04309415749309167,0.0,0.0,1.2885411872986653e-07,0.20184744927112677,0.0,0.0
1186,Lepidoptera_Group_443,Zale helata,Native,33.0,50.0,2,1.0,5,native,0.02163659197495592,0.9783634080250434,0.004892878211703644,0.0727774389289049,0.0,0.0,0.020223779222485222,0.04309415749309167,0.0,0.0,1.2885411872986653e-07,0.20184744927112677,0.0,0.0
1187,Lepidoptera_Group_444,Eudryas unio,Native,33.0,50.0,1,1.0,1,native,0.17551917328070757,0.8244808267192926,0.06460877176329824,0.03876588931059634,0.02471870580964617,0.014755502862061018,0.0948494905284114,0.02300575183692591,0.004080567427728317,0.01857153837783813,2.4236846142046325e-12,0.4847996157543661,0.044416772983424745,0.042870875800343315
1188,Lepidoptera_Group_445,Psychomorpha epimenis,Native,33.0,50.0,1,1.0,3,native,0.1922569509408847,0.8077430490591155,0.06460877176329824,0.011447429676472757,0.02471870580964617,0.021240983709800473,0.09197332191944227,0.0033036704392042857,0.004080567427728317,0.0379876446339672,2.4083448381653628e-11,0.6671567671855354,0.04547993157851002,0.4571752555866539
1189,Lepidoptera_Group_446,Phoberia atomaris,Native,33.0,50.0,1,1.0,4,native,0.08613620008352615,0.9138637999164737,0.04780040207660703,0.011442054984820807,0.01411686734381209,0.0,0.07393544797708196,0.0065492577305598,0.012241675535187967,0.0,4.6786316919772975e-11,0.43811075836726415,0.030561304191659956,0.0
1190,Lepidoptera_Group_447,Cissusa spadix,Native,33.0,50.0,1,1.0,1,native,0.09100401631022698,0.9089959836897729,0.04780040207660703,0.03876588931059634,0.01411686734381209,0.014755502862061018,0.07393544797708196,0.02300575183692591,0.0,0.01857153837783813,1.2900751649025923e-11,0.4847996157543661,0.030561304191659956,0.042870875800343315
1191,Lepidoptera_Group_448,Drasteria graphica,Native,33.0,50.0,2,1.0,7,native,0.2257135622399324,0.7742864377600673,0.09009000694523922,0.024612637346595682,0.03553662004321484,0.0,0.10802948244301264,0.014331098729539221,0.012241675535187967,0.0,4.924068108605614e-10,0.4153123674895261,0.05767689535249577,0.0
1192,Lepidoptera_Group_448,Drasteria occulta,Native,33.0,50.0,2,1.0,7,native,0.2257135622399324,0.7742864377600673,0.09009000694523922,0.024612637346595682,0.03553662004321484,0.0,0.10802948244301264,0.014331098729539221,0.012241675535187967,0.0,4.924068108605614e-10,0.4153123674895261,0.05767689535249577,0.0
1193,Lepidoptera_Group_449,Amolita roseola,Native,66.0,50.0,1,1.0,2,native,0.16301313386442903,0.8369868661355706,0.07953342572785548,0.11268877111457568,0.021281191628897526,0.0,0.11052298161097346,0.06626407076800188,0.012241675535187967,0.0,1.4388709924835098e-11,0.0002571215098991781,0.03391905004958673,0.0
1194,Lepidoptera_Group_45,Epiblema otiosana,,33.0,,1,1.0,1,introduced,0.5325944945603485,0.46740550543965126,0.09893173238155063,0.03876588931059634,0.042776790897887794,0.014755502862061018,0.13456335587830828,0.02300575183692591,0.03689436817446285,0.01857153837783813,1.3744439331185765e-13,0.4847996157543661,0.05810881097258269,0.042870875800343315
1195,Lepidoptera_Group_450,Panopoda rufimargo,Native,33.0,50.0,1,1.0,1,native,0.10120296606283002,0.89879703393717,0.0786129324679534,0.03876588931059634,0.014135607160724682,0.014755502862061018,0.12204864093054188,0.02300575183692591,0.0,0.01857153837783813,4.632612363859487e-12,0.4847996157543661,0.020801616830105858,0.042870875800343315
1196,Lepidoptera_Group_451,Spargaloma sexpunctata,Native,33.0,50.0,1,1.0,2,native,0.28523105912365937,0.7147689408763401,0.059367227553177596,0.0,0.03187948088698301,0.0,0.0786832685534064,0.0,0.0,0.0,1.9021322288694583e-10,0.9999999999999999,0.06594915303982116,0.042870875800343315
1197,Lepidoptera_Group_452,Catocala ultronia,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.026667171761967534,0.03876588931059634,0.0,0.014755502862061018,0.04359685082658126,0.02300575183692591,0.0,0.01857153837783813,8.084061972695198e-09,0.4847996157543661,0.0,0.042870875800343315
1198,Lepidoptera_Group_453,Catocala praeclara,,33.0,,1,1.0,3,native,0.1608769690153319,0.839123030984668,0.026667171761967534,0.0,0.014400803963699846,0.0,0.04359685082658126,0.0,0.01249979370607327,0.0,3.236692744285934e-09,0.9999999999999999,0.04435204552739035,0.042870875800343315
1199,Lepidoptera_Group_454,Catocala luctuosa,,33.0,,1,1.0,1,native,0.11191919608175724,0.8880808039182426,0.020083977101797858,0.03876588931059634,0.01434646559306883,0.014755502862061018,0.03372390604064706,0.02300575183692591,0.0,0.01857153837783813,3.880963337935266e-08,0.4847996157543661,0.051230764857213736,0.042870875800343315
1200,Lepidoptera_Group_455,Catocala herodias,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.03044551355090741,0.03876588931059634,0.007046739032374418,0.014755502862061018,0.05216606655791991,0.02300575183692591,0.0,0.01857153837783813,1.4940941862248809e-09,0.4847996157543661,0.019388302866388814,0.042870875800343315
1201,Lepidoptera_Group_456,Catocala relicta,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.03284464468682936,0.03876588931059634,0.007049081509488492,0.014755502862061018,0.05560621067536264,0.02300575183692591,0.012241675535187967,0.01857153837783813,1.059978524313545e-09,0.4847996157543661,0.018598499147462942,0.042870875800343315
1202,Lepidoptera_Group_457,Catocala andromedae,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.030617879110912793,0.03876588931059634,0.007035097630959019,0.014755502862061018,0.05266949578948187,0.02300575183692591,0.0,0.01857153837783813,2.393005062126093e-09,0.4847996157543661,0.01923575762477636,0.042870875800343315
