,Group,Species,N,Status,Regions,Group2,predict,MLdistance,MLsimilarity,AAdistance,AAsimilarity,ZtestDistance,ZtestSimilarity,Nsdistance,Nssimilarity,PatristicDistance,PatristicSimilarity
46,Group_140,,2,,,group_140,introduced,0.15057808,0.0,0.1008047,0.0,0.0,1.0,0.06641505,0.0,0.15133333,0.0
47,Group_141,,2,,,group_141,introduced,0.16463784,0.0,0.09075436,0.0,0.0,1.0,0.05993035,0.0,0.158,0.0
48,Group_142,,1,,,group_142,introduced,0.18791322,,0.12479077,,0.0,,0.08455176,,0.133,
49,Group_143,,1,,,group_143,introduced,0.2449337,,0.24629686,,0.0,,0.17545977,,0.158,
50,Group_144,,1,,,group_144,native,0.14507489,,0.1328481,,0.0,,0.07771144,,0.11900000000000001,
51,Group_145,Lasioglossum oenotherae,1,native,nearctic,group_145,native,0.13984192,,0.05688737,,0.0,,0.03345149,,0.11900000000000001,
52,Group_146,Lasioglossum marinum,1,native,nearctic,group_146,native,0.07758238,,0.00716849,,0.0,,0.00791042,,0.07400000000000001,
53,Group_147,Lasioglossum nigroviride,1,native,nearctic,group_147,native,0.06322763,,0.00459781,,0.0,,0.00394619,,0.037000000000000005,
54,Group_148,Myrmecina americana,1,native,nearctic / neotropic,group_148,introduced,0.20380202,,0.12121357,,0.0,,0.08520036,,0.209,
55,Group_149,Aphaenogaster rudis,2,native,nearctic,group_149,native,0.20913710000000002,0.00305031,0.08526465,0.0,0.0,0.15714816,0.06506341,0.0,0.059000000000000004,0.003
56,Group_15,,1,,,group_15,introduced,0.24295079,,0.20193267,,0.0,,0.12723576,,0.23800000000000002,
57,Group_150,Cotesia xylina,1,native,nearctic,group_150,introduced,0.20785603,,0.20692072,,0.0,,0.13054839999999998,,0.129,
58,Group_151,Lasioglossum lineatulum,1,native,nearctic,group_151,native,0.05901506,,0.00461895,,0.0,,0.00198151,,0.051,
59,Group_152,Myrmica fracticornis,1,native,nearctic,group_152,native,0.13903186,,0.02457126,,0.0,,0.01792704,,0.10400000000000001,
60,Group_153,Tapinoma sessile,1,native,nearctic,group_153,native,0.22501436,,0.09252018,,0.0,,0.07210830000000001,,0.07766667,
61,Group_154,,1,,,group_154,native,0.111114,,0.02398196,,0.0,,0.01445828,,0.11,
62,Group_155,,1,,,group_155,native,0.24591002,,0.17010597,,0.0,,0.12670604,,0.11,
63,Group_156,,1,,,group_156,native,0.13316247,,0.09531018,,1e-10,,0.05373428,,0.053,
64,Group_157,,1,,,group_157,introduced,0.23408557,,0.21130909,,0.0,,0.1470153,,0.21100000000000002,
65,Group_158,,1,,,group_158,native,0.02854314,,0.015152100000000002,,0.0,,0.00641296,,0.0245,
66,Group_159,,1,,,group_159,introduced,0.27779234,,0.33135714,,0.0,,0.17804815,,0.207,
67,Group_16,,1,,,group_16,introduced,0.41048573,,0.37385977,,0.0,,0.24539357,,0.379,
68,Group_160,Myrmica hellenica,1,introduced,nearctic / palearctic,group_160,native,0.19874367,,0.11119636,,0.0,,0.08385203,,0.1185,
69,Group_161,Urocerus cressoni,1,native,nearctic,group_161,native,0.22671755,,0.18721154,,0.0,,0.11215729,,0.08800000000000001,
70,Group_162,Sirex edwardsii,3,native,nearctic,group_162,introduced,0.1159154,0.0,0.07073655,0.0,0.0,1.0,0.04435322,0.0,0.1175,0.0
71,Group_163,Osmia distincta,1,native,nearctic,group_163,native,0.19939027,,0.22314355,,0.0,,0.13955121,,0.048,
72,Group_164,Trissolcus japonicus,1,introduced,cosmopolitan,group_164,introduced,0.29175602,,0.29298712,,0.0,,0.18911134,,0.168,
73,Group_165,Tetrastichus coeruleus,1,introduced,cosmopolitan,group_165,introduced,0.20248273,,0.23052366,,7.000000000000001e-10,,0.13993947,,0.1495,
74,Group_166,Lasioglossum birkmanni,1,native,nearctic,group_166,native,0.13054866,,0.06062462,,1.8e-09,,0.04221063,,0.085,
75,Group_167,,1,,,group_167,introduced,0.27109258,,0.29334781,,1.14e-07,,0.19110043,,0.171,
76,Group_168,Pseudodineura parva,1,native,nearctic,group_168,introduced,0.17819587,,0.05841076,,0.0,,0.04734978,,0.162,
77,Group_169,,1,,,group_169,native,0.30675982,,0.24686008,,1.0199999999999999e-07,,0.19096434,,0.106,
78,Group_17,Tapinoma sessile,1,native,nearctic,group_17,native,0.09668977,,0.02777956,,0.0,,0.01595805,,0.09783333,
79,Group_170,Fenella nigrita,1,introduced,nearctic / palearctic,group_170,introduced,0.1296721,,0.05092009,,0.0,,0.03696517,,0.128,
80,Group_171,Fenusa pumila,1,introduced,nearctic / palearctic,group_171,introduced,0.14185379999999997,,0.05092009,,0.0,,0.04013799,,0.128,
81,Group_172,Pristiphora bivittata,1,native,nearctic,group_172,introduced,0.13699541,,0.02150621,,0.0,,0.01743343,,0.134,
82,Group_173,Profenusa lucifex,1,native,nearctic,group_173,introduced,0.15424629,,0.07356257,,0.0,,0.04681455,,0.134,
83,Group_174,Pachynematus corniger,1,native,nearctic,group_174,native,0.09843581,,0.00711747,,0.0,,0.00784116,,0.098,
84,Group_175,Nematus atriceps group sp. TN-2010,1,,,group_175,native,0.09074535,,0.01428596,,0.0,,0.0158067,,0.09,
85,Group_176,Amauronematus brunneus,1,native,nearctic,group_176,native,0.12464645,,0.01428596,,0.0,,0.01261196,,0.098,
86,Group_177,Nematus tricolor,1,,,group_177,native,0.16040388,,0.11247798,,9.8e-09,,0.07042814,,0.09,
87,Group_178,Periclista sp. SAL-2012,1,,,group_178,introduced,0.35075912,,0.34652257,,0.00017313,,0.25240607,,0.168,
88,Group_179,Lasioglossum leucocomum,1,native,nearctic,group_179,native,0.09164559,,0.01626052,,3.5699999999999995e-08,,0.017585800000000002,,0.07200000000000001,
89,Group_18,,1,,,group_18,introduced,0.21498216,,0.23671563,,0.0,,0.13487627,,0.207,
90,Group_180,Bombus impatiens,2,native,nearctic / neotropic,group_180,native,0.03815608,0.0,0.01869213,0.0,0.0,1.0,0.00802147,0.0,0.043,0.0
91,Group_19,,5,,,group_19,native,0.11453112,0.00396796,0.05171028,0.0,0.0,0.25846610000000003,0.03318484,0.0,0.11417143,0.0044
92,Group_2,Tetramorium sp.,15,,,group_2,introduced,0.21795591,0.00066568,0.09075436,0.0,0.0,0.71407759,0.0746472,0.0,0.22306667,0.00599048
93,Group_20,,7,,,group_20,native,0.18914896,0.00795875,0.20168592,0.0,0.0,0.05667303,0.12416705,0.0,0.11417143,0.00952381
94,Group_21,,78,,,group_21,introduced,0.18553446,0.0,0.16871589999999997,0.0,0.0,1.0,0.10068527,0.0,0.182,0.0
95,Group_22,,1,,,group_22,introduced,0.18633259,,0.17003384,,0.0,,0.10149699,,0.182,
96,Group_23,,1,,,group_23,introduced,0.13498197,,0.0419642,,0.0,,0.03106657,,0.133,
97,Group_24,,1,,,group_24,introduced,0.13745511,,0.1008047,,0.0,,0.0550303,,0.1458,
98,Group_25,Bombus terricola,2,native,nearctic,group_25,native,0.09446073,0.00152289,0.02777956,0.0,0.0,0.31764352,0.02377221,0.0,0.0988,0.002
99,Group_26,,1,,,group_26,native,0.09177527,,0.03248546,,0.0,,0.02179666,,0.0978,
100,Group_27,,2,,,group_27,native,0.06555198,0.0,0.01654964,0.0,0.0,1.0,0.01203234,0.0,0.0638,0.0
101,Group_28,,2,,,group_28,native,0.06092601,0.0,0.00917438,0.0,0.0,1.0,0.00685831,0.0,0.0618,0.0
102,Group_29,,4,,,group_29,native,0.05659878,0.00209465,0.00614444,0.00159696,0.0,0.44530690000000006,0.01252421,0.00068023,0.0668125,0.00816667
103,Group_3,Lasius neoniger,17,native,nearctic,group_3,native,0.09717229,0.00628862,0.02043171,0.00156925,0.0,0.25771467,0.01077098,0.00067404,0.09832353,0.00790441
104,Group_30,,1,,,group_30,native,0.02950414,,0.00493828,,0.0,,0.0039139000000000005,,0.028999999999999998,
105,Group_31,,1,,,group_31,native,0.06256973,,0.00990107,,0.0,,0.01166513,,0.028999999999999998,
106,Group_32,,10,,,group_32,native,0.08781729,0.00061033,0.03000225,0.0,0.0,0.83140566,0.02430675,0.0,0.0618,0.0006
107,Group_33,Bombus impatiens,4,native,nearctic / neotropic,group_33,native,0.03821661,0.0,0.01970116,0.0,0.0,1.0,0.00845913,0.0,0.043,0.006999999999999999
108,Group_34,,1,,,group_34,introduced,0.17186236,,0.06706423,,0.0,,0.05234916,,0.168,
109,Group_35,Ecclitura primoris,1,native,nearctic,group_35,introduced,0.19644854,,0.22431246,,0.0,,0.1467276,,0.19699999999999998,
110,Group_36,Ponera pennsylvanica,2,native,nearctic,group_36,native,0.03028173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0305,0.0
111,Group_37,,1,,,group_37,introduced,0.1777497,,0.16332506,,0.0,,0.09546547,,0.174,
112,Group_38,Temnothorax schaumii,2,native,nearctic,group_38,introduced,0.19341481,0.0,0.07144458,0.0,0.0,1.0,0.05471308,0.0,0.2025,0.0
113,Group_39,,2,,,group_39,introduced,0.14799746,0.0,0.06453852,0.0,0.0,1.0,0.03829138,0.0,0.1495,0.001
114,Group_4,Monomorium emarginatum,3,native,nearctic,group_4,introduced,0.21100665,0.0,0.08080403,0.0,0.0,1.0,0.06844124,0.0,0.19733333,0.00433333
115,Group_40,Apis mellifera,3,introduced,cosmopolitan,group_40,introduced,0.15738339999999998,0.00105712,0.15445551,0.00318219,0.0,0.54588335,0.08091228,0.00137741,0.18633333,0.006
116,Group_41,Myrmica rubra,3,introduced,nearctic / palearctic,group_41,introduced,0.13437611,0.00101619,0.03879713,0.00305111,0.0,0.54590088,0.02861006,0.00130463,0.14166667,0.00133333
117,Group_42,,1,,,group_42,introduced,0.2332125,,0.11351462,,0.0,,0.08880695,,0.217,
118,Group_43,,1,,,group_43,introduced,0.14048612,,0.03248546,,0.0,,0.01910932,,0.1375,
119,Group_44,,1,,,group_44,introduced,0.16455522,,0.05635294,,0.0,,0.03349677,,0.16399999999999998,
