Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,predict prob,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,100.0,1,1.0,16,introduced,0.5011397138048796,0.49886028619512046,0.20375234977076923,0.057927926737753356,0.055430435449157635,0.06031139115351871,0.22011988720206982,0.06676811256402941,0.032337579729426365,0.058815909655368315,0.0,0.36365414550068464,0.04935325736905834,0.05273795667426287
30,Coleoptera_Group_122,Platynus decentis,native,100.0,100.0,1,1.0,8,native,0.2614610963231032,0.738538903676896,0.1975928071925142,0.06438928298706924,0.025111607632655734,0.0,0.22919489062464404,0.08415040817932785,0.012270202977442586,0.0,0.0,0.2993102230234436,0.02157013509334864,0.0
31,Coleoptera_Group_123,,,,,0,,1,introduced,0.6146906044793762,0.38530939552062426,0.14754578503784307,0.05037945131056341,0.07914356992365792,0.041723175312406005,0.1406266187763197,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.10364872162582478,0.04745380300671628
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,100.0,1,1.0,1,introduced,0.6146906044793762,0.38530939552062426,0.14754578503784307,0.05037945131056341,0.07914356992365792,0.041723175312406005,0.1406266187763197,0.06532519391654028,0.036894373791542215,0.03820208068461324,2.65378125479368e-12,0.5321156457992706,0.10364872162582478,0.04745380300671628
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,100.0,1,1.0,1,native,0.43195887549009004,0.5680411245099098,0.18989481551331538,0.05037945131056341,0.039840822717429655,0.041723175312406005,0.17608794008134787,0.06532519391654028,0.02471082807331744,0.03820208068461324,0.0,0.5321156457992706,0.04311905884742268,0.04745380300671628
36,Coleoptera_Group_127,Clivina americana,native,66.0,50.0,1,1.0,2,introduced,0.5475588198324108,0.45244118016758905,0.17514442747617562,0.0,0.05783050676409876,0.0,0.18325876392695914,0.0,0.0,0.0,6.18192974382574e-14,1.0,0.06046640097439287,0.04745380300671628
37,Coleoptera_Group_128,,,,,0,,1,native,0.42676388995378395,0.573236110046216,0.18920978412523753,0.05037945131056341,0.03921736483821427,0.041723175312406005,0.23525627756972284,0.06532519391654028,0.025363925029965116,0.03820208068461324,0.0,0.5321156457992706,0.032911497700747576,0.04745380300671628
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,100.0,1,1.0,1,native,0.33392712990660756,0.6660728700933924,0.18243555487446386,0.05037945131056341,0.02885563006362031,0.041723175312406005,0.222518748496144,0.06532519391654028,0.024652706280753348,0.03820208068461324,0.0,0.5321156457992706,0.0254461789257115,0.04745380300671628
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,100.0,1,1.0,1,introduced,0.6413662610261133,0.35863373897388734,0.34474156156830016,0.05037945131056341,0.16480200667379186,0.041723175312406005,0.3383723897097634,0.06532519391654028,0.17670195084108678,0.03820208068461324,0.0,0.5321156457992706,0.09939734603031047,0.04745380300671628
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,100.0,1,2.0,17,native,0.38388850061056307,0.616111499389437,0.17300197972675527,0.0,0.025528914301484535,0.0,0.21322568530297237,0.0,0.012651826482961781,0.0,0.0,1.0,0.023379139657616815,0.04745380300671628
41,Coleoptera_Group_131,Carabus serratus,native,100.0,100.0,1,1.0,18,native,0.2712820968306729,0.7287179031693268,0.17300197972675527,0.02387957593879215,0.025528914301484535,0.0,0.21322568530297237,0.03051408377032108,0.012651826482961781,0.0,0.0,0.537879792208372,0.023379139657616815,0.0
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,50.0,1,1.0,1,introduced,0.6412052819237382,0.3587947180762623,0.2459199124181919,0.05037945131056341,0.1159460823453571,0.041723175312406005,0.22296235937044667,0.06532519391654028,0.06888276879857921,0.03820208068461324,0.0,0.5321156457992706,0.10206581634452486,0.04745380300671628
43,Coleoptera_Group_133,,,,,0,,2,introduced,0.6435386390758714,0.3564613609241293,0.18844146048306254,0.02185009795948464,0.07449369411283277,0.0,0.17560880256846986,0.02827157435390777,0.06177641097890796,0.0,0.0,0.3177992037352694,0.08081283451048261,0.0
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,100.0,1,1.0,2,introduced,0.6250326519473893,0.37496734805261095,0.18961296661196653,0.02185009795948464,0.06954141089515457,0.0,0.19270177024943214,0.02863406193262207,0.036894373791542215,0.0,0.0,0.31777969373451825,0.06960269001562912,0.0
45,Coleoptera_Group_135,,,,,0,,3,introduced,0.6983599940254724,0.30164000597452745,0.18844146048306254,0.0,0.08230135886795706,0.0,0.17560880256846986,0.0,0.05257564032631808,0.0,4.739990796134376e-14,1.0,0.08928280672051175,0.04745380300671628
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,100.0,1,1.0,1,native,0.4777555899040347,0.5222444100959653,0.1934286069344613,0.05037945131056341,0.03732140801422716,0.041723175312406005,0.21292033340766572,0.06532519391654028,0.04965208572722334,0.03820208068461324,0.0,0.5321156457992706,0.034221880085163615,0.04745380300671628
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,100.0,1,1.0,1,native,0.4619000100648718,0.5380999899351282,0.19052747492181266,0.05037945131056341,0.05783050676409876,0.041723175312406005,0.1724628669363416,0.06532519391654028,0.0,0.03820208068461324,0.0,0.5321156457992706,0.06371976495662902,0.04745380300671628
48,Coleoptera_Group_138,,,,,0,,1,introduced,0.5092619019689011,0.490738098031099,0.18154819525818175,0.05037945131056341,0.048069353130747915,0.041723175312406005,0.1877031418372365,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.04922566622367399,0.04745380300671628
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,100.0,1,1.0,1,introduced,0.6064634616131347,0.39353653838686564,0.1846008490644854,0.05037945131056341,0.05611280506614057,0.041723175312406005,0.18816646061618383,0.06532519391654028,0.03644845167480845,0.03820208068461324,0.0,0.5321156457992706,0.05733954896082981,0.04745380300671628
50,Coleoptera_Group_14,,,,,0,,1,introduced,0.643524325560553,0.3564756744394477,0.394399084597042,0.05037945131056341,0.25676814299411616,0.041723175312406005,0.3106174456160517,0.06532519391654028,0.25615728886796246,0.03820208068461324,0.0,0.5321156457992706,0.16755161662811507,0.04745380300671628
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,100.0,1,1.0,2,introduced,0.6060862536286695,0.3939137463713301,0.1684525922540738,0.0,0.046685548298090206,0.0,0.18185332577899702,0.0,0.026128999250173403,0.0,0.0,1.0,0.04914008268306855,0.04745380300671628
52,Coleoptera_Group_141,,,,,0,,1,native,0.3771533045117789,0.6228466954882212,0.16273369059525247,0.05037945131056341,0.02885563006362031,0.041723175312406005,0.16712691223816745,0.06532519391654028,0.024652706280753348,0.03820208068461324,0.0,0.5321156457992706,0.03266279831784385,0.04745380300671628
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,100.0,1,1.0,7,introduced,0.6222637864842281,0.37773621351577163,0.16367741323096782,0.013895937684655819,0.04728086599973422,0.0,0.17237051265039294,0.018167975716593048,0.04612913127828651,0.0,0.0,0.7591307007265321,0.052119774793366144,0.0
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,100.0,1,1.0,14,native,0.49954017323552635,0.5004598267644738,0.20446910754686254,0.015355436704774059,0.04050893048193225,0.025815367153028186,0.2066359118811083,0.016478064431575252,0.03736601959071446,0.025226853497493682,0.0,0.6173955152697274,0.03813875779713544,0.09146715311144747
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,100.0,1,1.0,3,native,0.19257925685597507,0.8074207431440248,0.12521917662633578,0.014585714183245136,0.007148458971528432,0.0,0.15079616794310982,0.018612117921787907,0.0,0.0,0.0,0.5452121524906679,0.008829906832139328,0.0
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,100.0,1,1.0,1,native,0.044508562992698154,0.9554914370073027,0.09175017006276184,0.05037945131056341,0.0,0.041723175312406005,0.11004601121888902,0.06532519391654028,0.0,0.03820208068461324,5.123485197116122e-14,0.5321156457992706,0.0,0.04745380300671628
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,100.0,1,1.0,1,native,0.044508562992698154,0.9554914370073027,0.09175017006276184,0.05037945131056341,0.0,0.041723175312406005,0.11004601121888902,0.06532519391654028,0.0,0.03820208068461324,5.246203405430281e-14,0.5321156457992706,0.0,0.04745380300671628
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,100.0,1,1.0,12,introduced,0.6117808351178655,0.388219164882135,0.1655433508147461,0.08937202365488078,0.07421690960795543,0.07179896983253663,0.13870652895552693,0.10805520210100748,0.0528409589509992,0.07072810882236094,8.007363092498849e-13,0.10243395544370731,0.09831485519940616,0.03879409148375971
61,Coleoptera_Group_149,Cymindis limbata,native,66.0,50.0,1,1.0,7,native,0.025517211445305138,0.9744827885546953,0.07117899534720303,0.07312213743765188,0.0010530744455783908,0.0678780121948056,0.08640329737785996,0.08657463040784341,0.0017488096443219875,0.06668648803297758,1.3330265378125477e-11,0.20116316924478206,0.0020317313271065443,0.04577533400145493
62,Coleoptera_Group_15,,,,,0,,1,introduced,0.6425184107932432,0.35748158920675716,0.3626505906136231,0.05037945131056341,0.2527318430388641,0.041723175312406005,0.23077768327624443,0.06532519391654028,0.26963237873922624,0.03820208068461324,6.826200337475073e-12,0.5321156457992706,0.21576240033751803,0.04745380300671628
63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,100.0,1,1.0,3,native,0.0781466167710089,0.9218533832289914,0.07117899534720303,0.2568369365141917,0.0010530744455783908,0.0,0.08640329737785996,0.3410463155940593,0.0,0.0,3.5741678171498692e-12,0.0027684316065846168,0.0020317313271065443,0.0
64,Coleoptera_Group_151,Myas cyanescens,native,100.0,100.0,1,1.0,15,introduced,0.5586821993938105,0.4413178006061898,0.18120198748562003,0.015090213261463386,0.048956419400502646,0.0,0.18899614343592694,0.017534437660042843,0.05157642682442136,0.0,0.0,0.640333376152835,0.04983559823641083,0.0
65,Coleoptera_Group_152,,,,,0,,1,introduced,0.6082669369339537,0.39173306306604655,0.17208825749829984,0.05037945131056341,0.05410563949608356,0.041723175312406005,0.1720044231392946,0.06532519391654028,0.0384671868545792,0.03820208068461324,0.0,0.5321156457992706,0.05975209097203533,0.04745380300671628
66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,100.0,1,3.0,191,introduced,0.5093883914795723,0.4906116085204278,0.19401187700120992,0.05392736698361537,0.0482020098457188,0.06150359243266445,0.18713691601715193,0.062151544018409985,0.042181748600551495,0.05782909120395421,9.035128087129927e-14,0.35331706510270705,0.04949131700203856,0.0577752208213287
67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,100.0,1,1.0,20,native,0.06953644400182135,0.9304635559981789,0.08771551471223314,0.2232010336350278,0.00043335908242147527,0.030827910363108533,0.10696865809663428,0.29534004908390027,0.000740943643120521,0.030203274401317388,1.9788311090658073e-08,0.08678957484139864,0.000708874042290351,0.006094173261241815
68,Coleoptera_Group_155,,,,,0,,1,native,0.03252629427444755,0.9674737057255531,0.06081346476399557,0.05037945131056341,0.00043335908242147527,0.041723175312406005,0.0708426629581975,0.06532519391654028,0.0,0.03820208068461324,3.9269826660530753e-10,0.5321156457992706,0.0009674695114785212,0.04745380300671628
69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,100.0,1,1.0,2,native,0.1751978237333301,0.8248021762666692,0.15030564024934182,0.024552573263752955,0.018822480090581607,0.0,0.15636463265686568,0.03205922336801749,0.005355729537307532,0.0,2.715140358950759e-13,0.31759534372742076,0.022548355990013626,0.0
70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,100.0,1,1.0,3,native,0.3850433254295101,0.6149566745704902,0.19912810248841534,0.0,0.025912816469390136,0.0,0.20486838985990619,0.0,0.012241667510788874,0.0,0.0,1.0,0.024581687600717553,0.04745380300671628
71,Coleoptera_Group_158,,,,,0,,1,native,0.3083859640305356,0.6916140359694646,0.1439393477127026,0.05037945131056341,0.028758208924891396,0.041723175312406005,0.15362564570580708,0.06532519391654028,0.012241667510788874,0.03820208068461324,2.4390243902439023e-14,0.5321156457992706,0.03496984069891447,0.04745380300671628
72,Coleoptera_Group_159,Amara lunicollis,native,66.0,50.0,1,1.0,5,introduced,0.6295586756424177,0.37044132435758226,0.1490754822537789,0.008740039183793858,0.04448429181785575,0.09458456299391794,0.13359244832692846,0.0,0.02778418271642333,0.09336118524290779,5.629697806412027e-13,0.7275358595101306,0.06079096762893955,0.04745380300671628
73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,100.0,1,1.0,1,introduced,0.6413662610261133,0.35863373897388734,0.33913368625973195,0.05037945131056341,0.1783317250305458,0.041723175312406005,0.3425573162582406,0.06532519391654028,0.17670195084108678,0.03820208068461324,0.0,0.5321156457992706,0.1063434532649173,0.04745380300671628
74,Coleoptera_Group_160,,,,,0,,1,native,0.2404677817574062,0.7595322182425934,0.1294410621481671,0.05037945131056341,0.021474314670121935,0.041723175312406005,0.15182217277286086,0.06532519391654028,0.012525912065906425,0.03820208068461324,0.0,0.5321156457992706,0.026374277292412745,0.04745380300671628
75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,,1,1.0,8,native,0.28635297514820596,0.7136470248517938,0.14253233809169238,0.01748682769502631,0.02737315978613674,0.0,0.1459315890545492,0.022927484527386327,0.005355729537307532,0.0,9.464641816229484e-12,0.5814153538844912,0.034756467879951486,0.0
76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,100.0,1,1.0,6,native,0.10238250350072353,0.8976174964992765,0.11517434585910656,0.026274799845468322,0.014611149972076874,0.0,0.13537346805825548,0.0340702588925149,0.0,0.0,8.927749654855039e-13,0.49436164053292325,0.019749758832056423,0.0
77,Coleoptera_Group_163,Agonum retractum,native,100.0,100.0,1,1.0,26,native,0.1470047380829135,0.8529952619170864,0.11517434585910656,0.03155899276963318,0.014611149972076874,0.0,0.13537346805825548,0.04068910787138985,0.012525912065906425,0.0,3.911642890013805e-13,0.4896614103519644,0.019749758832056423,0.0
78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,100.0,1,1.0,1,native,0.2477392073332803,0.7522607926667195,0.1367415543782042,0.05037945131056341,0.02149599145644649,0.041723175312406005,0.15362564570580708,0.06532519391654028,0.012241667510788874,0.03820208068461324,0.0,0.5321156457992706,0.026139019957449574,0.04745380300671628
79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,100.0,1,1.0,1,native,0.3364599241613362,0.663540075838664,0.13812709177912505,0.05037945131056341,0.02513791444921853,0.041723175312406005,0.12535920287124452,0.06532519391654028,0.024539618959269142,0.03820208068461324,0.0,0.5321156457992706,0.0361947682546432,0.04745380300671628
80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,100.0,1,1.0,4,native,0.4985336957711235,0.5014663042288765,0.13536611732723527,0.011611912787152123,0.0423759812803,0.0,0.1402983561298981,0.014968525893673703,0.020792491551043325,0.0,5.813775118883264e-13,0.658854776865909,0.05560494282809296,0.0
81,Coleoptera_Group_167,,,,,0,,1,native,0.15601692123428956,0.8439830787657101,0.12746046086619447,0.05037945131056341,0.007153261404533058,0.041723175312406005,0.1445923375209192,0.06532519391654028,0.0,0.03820208068461324,0.0,0.5321156457992706,0.009153098187673204,0.04745380300671628
86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,50.0,1,1.0,2,native,0.342918543372873,0.6570814566271274,0.16856175991085423,0.0,0.021388042657693687,0.0,0.21606838208655624,0.0,0.0,0.0,0.0,1.0,0.019359011557694327,0.04745380300671628
87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,100.0,1,1.0,1,native,0.38715143454319756,0.6128485654568019,0.09198441713030714,0.05037945131056341,0.03580290432344417,0.041723175312406005,0.0924356756849076,0.06532519391654028,0.024539618959269142,0.03820208068461324,2.5157232704402513e-11,0.5321156457992706,0.06562124494993114,0.04745380300671628
88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,100.0,1,1.0,15,native,0.16282527486941267,0.837174725130588,0.06413540551542248,0.0,0.0072837701567205395,0.0,0.07359211947362723,0.0,0.0,0.0,4.233778186838472e-10,1.0,0.015821669261266966,0.04745380300671628
89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,100.0,1,3.0,8,native,0.41364785069775406,0.5863521493022458,0.11334191022356711,0.09245270274787222,0.040958368540217185,0.059070341471064755,0.11492656690393341,0.11524884962121276,0.025431859464311982,0.05838905330196594,1.3882497315539193e-12,0.16947717802487136,0.06327284384343794,0.029924433325941097
90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,100.0,1,1.0,16,native,0.40609641167557003,0.59390358832443,0.10491032383494826,0.019704764803272653,0.03335668574086036,0.0,0.1047431373492583,0.02155869748184815,0.025527222862197774,0.0,4.295137290995551e-11,0.6570839367977316,0.055477235194932785,0.0
91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,100.0,1,1.0,8,native,0.16695194540797995,0.8330480545920204,0.02353304653077779,0.010605324577494583,0.007774479453271662,0.0,0.027018809348147155,0.01374862006808066,0.01318587175079041,0.0,1.7180549163982205e-06,0.6832304078043707,0.03113429933608029,0.0
92,Coleoptera_Group_175,,,,,0,,1,native,0.409813727939992,0.5901862720600078,0.12809365858394353,0.05037945131056341,0.03230943546285579,0.041723175312406005,0.12648904647928785,0.06532519391654028,0.0370647922347997,0.03820208068461324,2.500383494400981e-12,0.5321156457992706,0.04618085367380417,0.04745380300671628
93,Coleoptera_Group_176,Notiobia terminata,native,66.0,100.0,1,1.0,1,native,0.18381195782291979,0.8161880421770809,0.11538549991226114,0.05037945131056341,0.021488761010421045,0.041723175312406005,0.1266506737588946,0.06532519391654028,0.012241667510788874,0.03820208068461324,0.0,0.5321156457992706,0.03068247504017983,0.04745380300671628
94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,100.0,1,1.0,2,introduced,0.5269830783960902,0.4730169216039099,0.07810931793336395,0.0,0.046654076763141844,0.0,0.07169363430811604,0.0,0.06177641097890796,0.0,3.4821291609142503e-09,1.0,0.10326734615616823,0.04745380300671628
95,Coleoptera_Group_178,Harpalus faunus,native,100.0,100.0,1,1.0,1,native,0.3334637408818916,0.6665362591181083,0.07810931793336395,0.05037945131056341,0.024208874893708106,0.041723175312406005,0.07169363430811604,0.06532519391654028,0.027720641298206544,0.03820208068461324,3.650866697346219e-10,0.5321156457992706,0.05358559073143829,0.04745380300671628
