Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1307,Lepidoptera_Group_542,Stigmella villosella,native,33.0,50.0,1,1.0,1,native,0.1399681326057114,0.860031867394289,0.09297727763326936,,0.007112647820265864,,0.13819078332344728,,0.012297953320840058,,1.417395306028532e-13,,0.009451304211277068,
1308,Lepidoptera_Group_543,Pyreferra citrombra,native,33.0,50.0,1,1.0,1,native,0.15299377467347264,0.8470062253265279,0.11459877270069359,,0.0,,0.18175895411572615,,0.0,,0.0,,0.0,
1309,Lepidoptera_Group_544,Ectoedemia rubifoliella,native,33.0,50.0,1,1.0,1,introduced,0.5403571969444065,0.45964280305559335,0.10758812504492692,,0.05365124401089161,,0.13124833490979237,,0.04953474935267842,,2.3469857340082836e-11,,0.07439622841263323,
1310,Lepidoptera_Group_545,Heterocampa biundata,native,33.0,50.0,1,1.0,1,native,0.1399681326057114,0.860031867394289,0.09682988130922206,,0.014253866762907932,,0.1401059399287676,,0.0,,0.0,,0.018725032774373363,
1311,Lepidoptera_Group_546,Coleophora lineapulvella,,33.0,,1,1.0,3,native,0.20544177710439787,0.7945582228956022,0.04386144570544777,0.005814553762576114,0.021791993608075603,0.0,0.06083800215105665,0.0033184253724625155,0.012548020344633497,0.0,1.1934345758551924e-09,0.5451405924879128,0.05411770292990067,0.0
1312,Lepidoptera_Group_547,Homochlodes disconventa,native,33.0,50.0,1,1.0,2,native,0.2160908133888284,0.7839091866111718,0.0856212549682982,0.04488006873235309,0.029045757928425682,0.11513138721488647,0.1184935978156321,0.008186505264258027,0.008032450241971743,0.07477755748711114,9.771437337014879e-09,0.7197098492088292,0.04377897596284441,1.0
1313,Lepidoptera_Group_548,,,,,0,,1,native,0.06564690598739374,0.9343530940126062,0.07432404020580057,,0.0164188834895521,,0.10119566875827374,,0.014115078495875608,,4.38717594723117e-11,,0.028055811217193256,
1314,Lepidoptera_Group_549,,,,,0,,1,native,0.4689835095097656,0.5310164904902345,0.0047607378404968675,,0.0397603547244327,,0.002725339497462318,,0.06876471357161537,,0.0001142813314925602,,0.28435911565437777,
1315,Lepidoptera_Group_55,Retinia comstockiana,,33.0,,1,1.0,1,introduced,0.5327199618519991,0.4672800381480005,0.0992162598619455,,0.06789119787942505,,0.11553781975394162,,0.07430475870672044,,3.4667893848749804e-13,,0.1044328711148882,
1316,Lepidoptera_Group_550,Coleophora cretaticostella,,33.0,,1,1.0,1,native,0.3777425579973222,0.6222574420026774,0.06945330462803764,,0.021715188752395965,,0.09989230158373394,,0.03776250116454092,,1.4802883877895383e-12,,0.03748348406367024,
1317,Lepidoptera_Group_551,Darapsa myron,native,33.0,50.0,1,1.0,1,native,0.3129768166463631,0.6870231833536361,0.09354606430689504,,0.03622928342743103,,0.1307166374384742,,0.012469942941440318,,0.0,,0.050405926423858216,
1318,Lepidoptera_Group_552,Speyeria atlantis,native,33.0,50.0,1,1.0,2,native,0.037958863729270965,0.9620411362707288,0.032650798267887984,0.008735333727211969,0.0,0.0,0.0579369553281408,0.004911846666115137,0.0,0.0,1.9634913330265376e-10,0.3177321637326883,0.0,0.0
1319,Lepidoptera_Group_553,Speyeria cybele,native,33.0,50.0,1,1.0,1,native,0.06564690598739374,0.9343530940126062,0.019212812908461614,,0.0072138357331783635,,0.03517414660332579,,0.012469942941440318,,5.230863629391011e-09,,0.025170764000493777,
1320,Lepidoptera_Group_554,Renia fraternalis,native,33.0,50.0,1,1.0,1,native,0.4742576301790448,0.5257423698209553,0.06479363950514898,,0.07323449465286033,,0.06806849461045586,,0.08895640202207368,,6.642123025003835e-10,,0.16820727200760344,
1321,Lepidoptera_Group_555,,,,,0,,1,native,0.13651710641533985,0.86348289358466,0.0081094087932835,,0.0164188834895521,,0.010351853524064307,,0.014115078495875608,,3.129314312011044e-05,,0.09418794218001589,
1322,Lepidoptera_Group_556,Eupithecia palpata,native,33.0,50.0,1,1.0,1,introduced,0.6165200646871986,0.38347993531280156,0.13783680524646635,,0.04428921479579743,,0.19855532573491422,,0.02523414059768988,,0.0,,0.04318387192904646,
1323,Lepidoptera_Group_557,Eupithecia miserulata,native,33.0,50.0,1,1.0,1,introduced,0.6146382240872127,0.38536177591278725,0.13783680524646635,,0.04415150553515187,,0.17191069204531775,,0.025353730892200572,,3.7582451296211076e-14,,0.04878198601734728,
1324,Lepidoptera_Group_558,Coleophora sparsipulvella,,33.0,,1,1.0,1,native,0.37208649040559083,0.6279135095944088,0.05310751566962481,,0.022029684050999143,,0.07567778813785378,,0.025353730892200572,,5.568338702254946e-11,,0.04689156628840665,
